,corpusSeq,docId,unitId,unitStart,unitStartSkipPause,unitStartSkipPauseAlt,unitEnd,unitDur,unitDurSkipPause,unitBil,tokenSeq,sequence,participant,participantId,order,back,place,transcript,transcriptDt1,text,textDt1,kind,endNote,unitLen,clitic,hostId,noSpaceAfter,wordStart,wordEnd,wordDur,wordDurExact,POS_dft,POS_Spacy,POS_Penn,Lemma,Norm,isAlpha,overlap,isOverlap,isLag,:loc,pause,microPause,laugh,@loc,unclear,#loc,%word,%loc,_word,pre-phonation,pseudograph,quality,co-action,tap,+loc,phonetic,turnSeq,turnBil,turnOrder,utteranceSeq,utteranceBil,utteranceOrder,verbalUnit,POS_Spacy_new,POS_Penn_new,head,head_word,dep,is_spaCy_start,spaCy_ignored,spacy_id
0,418878,sbc057,1,0.0,0.5,1.04,1.479,1.479,0.979,B,1,1,NICK;,202,1,,,(...),...,(...),...,pause,,6,False,0,False,0.0,1.04,-1.04,True,PAUSE,X,XX,(...),(...),False,,False,False,,True,False,,,,,,,,,,,,,,,1,B,1,1,B,1,True,,,,,,,False,
1,418879,sbc057,1,0.0,0.5,1.04,1.479,1.479,0.979,I,2,1,NICK;,202,2,3,1,Go,Go,Go,Go,word,,6,False,0,False,1.04,1.16,-0.12000000000000001,True,VERB,VERB,VB,go,go,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,2,1,I,2,True,VERB,ROOT,0,Go,ROOT,True,True,0
2,418880,sbc057,1,0.0,0.5,1.04,1.479,1.479,0.979,I,3,1,NICK;,202,3,2,2,get,get,get,get,word,,6,False,0,False,1.16,1.39,-0.23,True,AUX,AUX,VB,get,get,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,3,1,I,3,True,VERB,advcl,0,Go,advcl,False,True,1
3,418881,sbc057,1,0.0,0.5,1.04,1.479,1.479,0.979,L,4,1,NICK;,202,4,1,3,him,him,him,him,word,,6,False,0,True,1.39,1.4249999999999998,-0.07,True,PRON,PRON,PRP,-PRON-,him,True,,False,False,,False,False,,,,,,,,,,,,,,,1,L,4,1,I,4,True,PRON,dobj,1,get,dobj,False,True,2
4,418882,sbc057,1,0.0,0.5,1.04,1.479,1.479,0.979,O,5,1,NICK;,202,5,,,.,.,.,.,endnote,final,6,False,0,False,-99.0,-99.0,-0.07,False,PRSDY,PUNCT,.,.,.,False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,5,1,I,5,True,PUNCT,punct,0,Go,punct,False,True,3
5,418883,sbc057,1,0.0,0.5,1.04,1.479,1.479,0.979,O,6,1,NICK;,202,6,,,"
","
",,,newline,,6,False,0,True,-99.0,-99.0,-0.07,False,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,6,1,L,6,True,,,,,,,False,
6,418884,sbc057,2,1.479,1.479,1.479,2.35,0.8710000000000001,0.8710000000000001,B,7,2,#;,,1,3,1,#Little,XLittle,Little,Little,word,,5,False,0,False,1.479,1.869,-0.39,True,DET,DET,DT,Little,Little,False,,False,False,,False,False,,,,1,,,,,,,,,,,2,B,1,2,B,1,True,ADJ,amod,6,room,amod,True,True,4
7,418885,sbc057,2,1.479,1.479,1.479,2.35,0.8710000000000001,0.8710000000000001,I,8,2,#;,,2,2,2,#boys',Xboys',boys',boys',word,,5,False,0,False,1.949,2.069,-0.12000000000000001,True,X,X,X,boys',boys',False,,False,False,,False,False,,,,1,,,,,,,,,,,2,I,2,2,I,2,True,ADJ,amod,6,room,amod,False,True,5
8,418886,sbc057,2,1.479,1.479,1.479,2.35,0.8710000000000001,0.8710000000000001,L,9,2,#;,,3,1,3,#room,Xroom,room,room,word,,5,False,0,True,2.119,2.229,-0.11,True,NOUN,NOUN,NN,room,room,False,,False,False,,False,False,,,,1,,,,,,,,,,,2,I,3,2,I,3,True,NOUN,ROOT,6,room,ROOT,False,True,6
9,418887,sbc057,2,1.479,1.479,1.479,2.35,0.8710000000000001,0.8710000000000001,O,10,2,#;,,4,,,?,?,?,?,endnote,appeal,5,False,0,False,-99.0,-99.0,-0.12100000000000001,True,PRSDY,PUNCT,.,?,?,False,,False,False,,False,False,,,,,,,,,,,,,,,2,O,4,2,I,4,True,PUNCT,punct,6,room,punct,False,True,7
10,418888,sbc057,2,1.479,1.479,1.479,2.35,0.8710000000000001,0.8710000000000001,O,11,2,#;,,5,,,"
","
",,,newline,,5,False,0,True,-99.0,-99.0,-0.12100000000000001,False,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,2,O,5,2,L,5,True,,,,,,,False,
11,418889,sbc057,3,2.35,2.85,2.35,3.25,0.9,0.4,B,12,3,#;,,1,,,(...),...,(...),...,pause,,3,False,0,False,2.35,2.8,-0.12100000000000001,False,PAUSE,X,XX,(...),(...),False,,False,False,,True,False,,,,,,,,,,,,,,,2,I,6,0,B,1,False,,,,,,,False,
12,418890,sbc057,3,2.35,2.85,2.35,3.25,0.9,0.4,L,13,3,#;,,2,,,(Hx),(Hx),(Hx),(Hx),vocalism,,3,False,0,False,2.8,3.25,-0.12100000000000001,False,BREATH,X,XX,(Hx),(hx),False,,False,False,,False,False,,,,,,,,,,,,,,,2,L,7,0,I,2,False,,,,,,,False,
13,418891,sbc057,3,2.35,2.85,2.35,3.25,0.9,0.4,O,14,3,#;,,3,,,"
","
",,,newline,,3,False,0,True,-99.0,-99.0,-0.12100000000000001,False,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,2,O,8,0,I,3,False,,,,,,,False,
14,418892,sbc057,4,3.25,3.75,3.25,5.166,1.916,1.416,B,15,4,BENTON;,206,1,,,(...),...,(...),...,pause,,6,False,0,False,3.25,4.208,0,True,PAUSE,X,XX,(...),(...),False,,False,False,,True,False,,,,,,,,,,,,,,,3,B,1,3,B,1,True,,,,,,,False,
15,418893,sbc057,4,3.25,3.75,3.25,5.166,1.916,1.416,I,16,4,BENTON;,206,2,,,<VOX,<VOX,<VOX,<VOX,anno,,6,False,0,False,-99.0,-99.0,0,True,ANNO,X,XX,<vox,<vox,False,,False,False,,False,False,,,,,,,,,,VOX,,,,,3,I,2,3,I,2,True,,,,,,,False,
16,418894,sbc057,4,3.25,3.75,3.25,5.166,1.916,1.416,I,17,4,BENTON;,206,3,1,1,%iai,%iai,iai,iai,word,,6,False,0,False,4.208,5.166,-0.03,True,X,X,X,iai,iai,False,,False,False,,False,False,,,,,%word,,,,,VOX,,,,,3,I,3,3,I,3,True,INTJ,ROOT,8,iai,ROOT,True,True,8
