,corpusSeq,docId,unitId,unitStart,unitStartSkipPause,unitStartSkipPauseAlt,unitEnd,unitDur,unitDurSkipPause,unitBil,tokenSeq,sequence,participant,participantId,order,back,place,transcript,transcriptDt1,text,textDt1,kind,endNote,unitLen,clitic,hostId,noSpaceAfter,wordStart,wordEnd,wordDur,wordDurExact,POS_dft,POS_Spacy,POS_Penn,Lemma,Norm,isAlpha,overlap,isOverlap,isLag,:loc,pause,microPause,laugh,@loc,unclear,#loc,%word,%loc,_word,pre-phonation,pseudograph,quality,co-action,tap,+loc,phonetic,turnSeq,turnBil,turnOrder,utteranceSeq,utteranceBil,utteranceOrder,verbalUnit,POS_Spacy_new,POS_Penn_new,head,head_word,dep,is_spaCy_start,spaCy_ignored,spacy_id
0,26820,sbc004,1,0.0,0.15,0.17,1.07,1.07,0.92,B,1,1,PAM;,14,1,,,(.),..,(.),..,pause,,5,False,0,False,0.0,0.17,-0.17,True,PAUSE,X,XX,(.),(.),False,,False,False,,False,True,,,,,,,,,,,,,,,1,B,1,1,B,1,True,,,,,,,False,
1,26821,sbc004,1,0.0,0.15,0.17,1.07,1.07,0.92,I,2,1,PAM;,14,2,2,1,Juice,Juice,Juice,Juice,word,,5,False,0,False,0.17,0.47,-0.3,True,PROPN,PROPN,NNP,Juice,juice,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,2,1,I,2,True,NOUN,compound,1,anybody,compound,True,True,0
2,26822,sbc004,1,0.0,0.15,0.17,1.07,1.07,0.92,L,3,1,PAM;,14,3,1,2,[2anybody2],[2anybody2],anybody,anybody,word,,5,False,0,True,0.47,1.05,-0.58,True,PRON,PRON,PP,anybody,anybody,False,[],True,False,,False,False,,,,,,,,,,,,,,,1,L,3,1,I,3,True,PRON,ROOT,1,anybody,ROOT,False,True,1
3,26823,sbc004,1,0.0,0.15,0.17,1.07,1.07,0.92,O,4,1,PAM;,14,4,,,?,?,?,?,endnote,appeal,5,False,0,False,-99.0,-99.0,-0.02,True,PRSDY,PUNCT,.,?,?,False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,4,1,I,4,True,PUNCT,punct,1,anybody,punct,False,True,2
4,26824,sbc004,1,0.0,0.15,0.17,1.07,1.07,0.92,O,5,1,PAM;,14,5,,,"
","
",,,newline,,5,False,0,True,-99.0,-99.0,0,True,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,5,1,L,5,True,,,,,,,False,
5,26825,sbc004,2,0.46,0.46,0.46,1.07,0.61,0.61,B,6,2,SHARON;,12,1,3,1,[2I,[2I,I,I,word,,5,False,0,False,0.46,0.75,-0.29000000000000004,True,PRONOUN,PRONOUN,PP,I,I,False,[,True,False,,False,False,,,,,,,,,,,,,,,2,B,1,2,B,1,True,PRON,nsubj,4,like,nsubj,True,True,3
6,26826,sbc004,2,0.46,0.46,0.46,1.07,0.61,0.61,I,7,2,SHARON;,12,2,2,2,like,like,like,like,word,,5,False,0,False,0.75,0.8600000000000001,-0.11,True,SCONJ,SCONJ,IN,like,like,True,,True,False,,False,False,,,,,,,,,,,,,,,2,I,2,2,I,2,True,VERB,ROOT,4,like,ROOT,False,True,4
7,26827,sbc004,2,0.46,0.46,0.46,1.07,0.61,0.61,L,8,2,SHARON;,12,3,1,3,it],it2],it,it,word,,5,False,0,True,0.8600000000000001,1.05,-0.19,True,PRON,PRON,PP,it,it,False,],True,False,,False,False,,,,,,,,,,,,,,,2,I,3,2,I,3,True,PRON,dobj,4,like,dobj,False,True,5
8,26828,sbc004,2,0.46,0.46,0.46,1.07,0.61,0.61,O,9,2,SHARON;,12,4,,,",",",",",",",",endnote,continuing,5,False,0,False,-99.0,-99.0,-0.02,True,PRSDY,PUNCT,",",",",",",False,,False,False,,False,False,,,,,,,,,,,,,,,2,O,4,2,I,4,True,PUNCT,punct,4,like,punct,False,True,6
9,26829,sbc004,2,0.46,0.46,0.46,1.07,0.61,0.61,O,10,2,SHARON;,12,5,,,"
","
",,,newline,,5,False,0,True,-99.0,-99.0,0,True,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,2,O,5,2,I,5,True,,,,,,,False,
