,corpusSeq,docId,unitId,unitStart,unitStartSkipPause,unitStartSkipPauseAlt,unitEnd,unitDur,unitDurSkipPause,unitBil,tokenSeq,sequence,participant,participantId,order,back,place,transcript,transcriptDt1,text,textDt1,kind,endNote,unitLen,clitic,hostId,noSpaceAfter,wordStart,wordEnd,wordDur,wordDurExact,POS_dft,POS_Spacy,POS_Penn,Lemma,Norm,isAlpha,overlap,isOverlap,isLag,:loc,pause,microPause,laugh,@loc,unclear,#loc,%word,%loc,_word,pre-phonation,pseudograph,quality,co-action,tap,+loc,phonetic,turnSeq,turnBil,turnOrder,utteranceSeq,utteranceBil,utteranceOrder,verbalUnit,POS_Spacy_new,POS_Penn_new,head,head_word,dep,is_spaCy_start,spaCy_ignored,spacy_id
0,77112,sbc011,1,0.0,2.833,5.09,5.88,5.88,3.047,B,1,1,DORIS;,29,1,,,(...),...,(...),...,pause,,6,False,0,False,0.0,5.09,-5.09,True,PAUSE,X,XX,(...),(...),False,,False,False,,True,False,,,,,,,,,,,,,,,1,B,1,1,B,1,True,,,,,,,False,
1,77113,sbc011,1,0.0,2.833,5.09,5.88,5.88,3.047,I,2,1,DORIS;,29,2,3,1,~Sam,~Sam,Sam,Sam,word,,6,False,0,False,5.09,5.4,-0.31,True,NOUN,NOUN,NN,Sam,Sam,False,,False,False,,False,False,,,,,,,,,~,,,,,,1,I,2,1,I,2,True,PROPN,nsubj,2,been,nsubj,True,True,0
2,77114,sbc011,1,0.0,2.833,5.09,5.88,5.88,3.047,I,3,1,DORIS;,29,3,2,2,has,has,has,has,word,,6,False,0,False,5.4,5.609999999999999,-0.21000000000000002,True,AUX,AUX,VBZ,have,has,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,3,1,I,3,True,AUX,aux,2,been,aux,False,True,1
3,77115,sbc011,1,0.0,2.833,5.09,5.88,5.88,3.047,L,4,1,DORIS;,29,4,1,3,been,been,been,been,word,,6,False,0,True,5.609999999999999,5.87,-0.26,True,AUX,AUX,VBN,be,been,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,4,1,I,4,True,AUX,aux,5,taken,aux,False,True,2
4,77116,sbc011,1,0.0,2.833,5.09,5.88,5.88,3.047,O,5,1,DORIS;,29,5,,,",",",",",",",",endnote,continuing,6,False,0,False,-99.0,-99.0,-0.01,True,PRSDY,PUNCT,",",",",",",False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,5,1,I,5,True,PUNCT,punct,5,taken,punct,False,True,3
5,77117,sbc011,1,0.0,2.833,5.09,5.88,5.88,3.047,O,6,1,DORIS;,29,6,,,"
","
",,,newline,,6,False,0,True,-99.0,-99.0,0,True,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,6,1,I,6,True,,,,,,,False,
6,77118,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,B,7,2,DORIS;,29,1,,,(.),..,(.),..,pause,,12,False,0,False,5.88,6.15,0,True,PAUSE,X,XX,(.),(.),False,,False,False,,False,True,,,,,,,,,,,,,,,1,I,7,1,I,7,True,,,,,,,False,
7,77119,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,I,8,2,DORIS;,29,2,9,1,has,has,has,has,word,,12,False,0,False,6.15,6.42,-0.31,True,AUX,AUX,VBZ,have,has,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,8,1,I,8,True,AUX,aux,5,taken,aux,False,True,4
8,77120,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,I,9,2,DORIS;,29,3,8,2,taken,taken,taken,taken,word,,12,False,0,False,6.42,6.69,-0.33999999999999997,True,VERB,VERB,VBN,take,taken,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,9,1,I,9,True,VERB,ROOT,5,taken,ROOT,False,True,5
9,77121,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,I,10,2,DORIS;,29,4,7,3,such,such,such,such,word,,12,False,0,False,6.69,6.96,-0.26,True,DET,DET,PDT,such,such,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,10,1,I,10,True,DET,predet,8,interest,predet,False,True,6
10,77122,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,I,11,2,DORIS;,29,5,6,4,an,an,an,an,word,,12,False,0,False,6.96,7.23,-0.09,True,DET,DET,DT,an,an,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,11,1,I,11,True,DET,det,8,interest,det,False,True,7
11,77123,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,I,12,2,DORIS;,29,6,5,5,interest,interest,interest,interest,word,,12,False,0,False,7.23,7.5,-0.44,True,NOUN,NOUN,NN,interest,interest,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,12,1,I,12,True,NOUN,dobj,5,taken,dobj,False,True,8
12,77124,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,I,13,2,DORIS;,29,7,4,6,in,in,in,in,word,,12,False,0,False,7.5,7.77,-0.1,True,ADP,ADP,IN,in,in,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,13,1,I,13,True,ADP,prep,8,interest,prep,False,True,9
13,77125,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,I,14,2,DORIS;,29,8,3,7,this,this,this,this,word,,12,False,0,False,7.77,8.04,-0.26,True,DET,DET,DT,this,this,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,14,1,I,14,True,DET,det,12,bit,det,False,True,10
14,77126,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,I,15,2,DORIS;,29,9,2,8,retirement,retirement,retirement,retirement,word,,12,False,0,False,8.04,8.31,-0.54,True,NOUN,NOUN,NN,retirement,retirement,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,15,1,I,15,True,NOUN,compound,12,bit,compound,False,True,11
15,77127,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,L,16,2,DORIS;,29,10,1,9,bit,bit,bit,bit,word,,12,False,0,True,8.31,8.58,-0.2,True,NOUN,NOUN,NN,bit,bit,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,16,1,I,16,True,NOUN,pobj,9,in,pobj,False,True,12
16,77128,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,O,17,2,DORIS;,29,11,,,.,.,.,.,endnote,final,12,False,0,False,-99.0,-99.0,-0.01,True,PRSDY,PUNCT,.,.,.,False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,17,1,I,17,True,PUNCT,punct,5,taken,punct,False,True,13
17,77129,sbc011,2,5.88,6.03,5.88,8.58,2.7,2.55,O,18,2,DORIS;,29,12,,,"
","
",,,newline,,12,False,0,True,-99.0,-99.0,-1.05,True,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,18,1,L,18,True,,,,,,,False,
18,77130,sbc011,3,8.58,8.729999999999999,9.63,9.95,1.37,1.22,B,19,3,DORIS;,29,1,,,(.),..,(.),..,pause,,7,False,0,False,8.58,8.854000000000001,0,True,PAUSE,X,XX,(.),(.),False,,False,False,,False,True,,,,,,,,,,,,,,,1,I,19,2,B,1,True,,,,,,,False,
19,77131,sbc011,3,8.58,8.729999999999999,9.63,9.95,1.37,1.22,I,20,3,DORIS;,29,2,,,(H),(H),(H),(H),vocalism,,7,False,0,False,8.854000000000001,9.127999999999998,0,True,BREATH,X,XX,(H),(h),False,,False,False,,False,False,,,,,,,,,,,,,,,1,I,20,2,I,2,True,,,,,,,False,
20,77132,sbc011,3,8.58,8.729999999999999,9.63,9.95,1.37,1.22,I,21,3,DORIS;,29,3,,,(...),...,(...),...,pause,,7,False,0,False,9.127999999999998,9.402,0,True,PAUSE,X,XX,(...),(...),False,,False,False,,True,False,,,,,,,,,,,,,,,1,I,21,2,I,3,True,,,,,,,False,
21,77133,sbc011,3,8.58,8.729999999999999,9.63,9.95,1.37,1.22,I,22,3,DORIS;,29,4,2,1,That,That,That,That,word,,7,False,0,False,9.402,9.676,-0.19,True,SCONJ,SCONJ,IN,that,that,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,22,2,I,4,True,SCONJ,prep,19,surprises,prep,True,True,14
22,77134,sbc011,3,8.58,8.729999999999999,9.63,9.95,1.37,1.22,L,23,3,DORIS;,29,5,1,2,it,it,it,it,word,,7,False,0,False,9.676,9.95,-0.11,True,PRON,PRON,PRP,-PRON-,it,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,23,2,I,5,True,PRON,pobj,14,That,pobj,False,True,15
23,77135,sbc011,3,8.58,8.729999999999999,9.63,9.95,1.37,1.22,O,24,3,DORIS;,29,6,,,—,--,—,--,endnote,break,7,False,0,False,-99.0,-99.0,-0.02,True,PRSDY,PUNCT,:,—,-,False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,24,2,I,6,True,PUNCT,punct,19,surprises,punct,False,True,16
24,77136,sbc011,3,8.58,8.729999999999999,9.63,9.95,1.37,1.22,O,25,3,DORIS;,29,7,,,"
","
",,,newline,,7,False,0,True,-99.0,-99.0,-0.12000000000000001,True,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,25,2,I,7,True,,,,,,,False,
25,77137,sbc011,4,9.95,10.1,10.07,11.55,1.6,1.45,B,26,4,DORIS;,29,1,,,(.),..,(.),..,pause,,7,False,0,False,9.95,10.07,0,True,PAUSE,X,XX,(.),(.),False,,False,False,,False,True,,,,,,,,,,,,,,,1,I,26,2,I,8,True,,,,,,,False,
26,77138,sbc011,4,9.95,10.1,10.07,11.55,1.6,1.45,I,27,4,DORIS;,29,2,4,1,it,it,it,it,word,,7,False,0,False,10.07,10.26,-0.19,True,PRON,PRON,PRP,-PRON-,it,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,27,2,I,9,True,PRON,nsubj,19,surprises,nsubj,False,True,17
27,77139,sbc011,4,9.95,10.1,10.07,11.55,1.6,1.45,I,28,4,DORIS;,29,3,3,2,really,really,really,really,word,,7,False,0,False,10.26,10.53,-0.27,True,ADV,ADV,RB,really,really,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,28,2,I,10,True,ADV,advmod,19,surprises,advmod,False,True,18
28,77140,sbc011,4,9.95,10.1,10.07,11.55,1.6,1.45,I,29,4,DORIS;,29,4,2,3,surprises,surprises,surprises,surprises,word,,7,False,0,False,10.53,11.3,-0.77,True,VERB,VERB,VBZ,surprise,surprises,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,29,2,I,11,True,VERB,ROOT,19,surprises,ROOT,False,True,19
29,77141,sbc011,4,9.95,10.1,10.07,11.55,1.6,1.45,L,30,4,DORIS;,29,5,1,4,me,me,me,me,word,,7,False,0,True,11.3,11.53,-0.23,True,PRON,PRON,PRP,-PRON-,me,True,,False,False,,False,False,,,,,,,,,,,,,,,1,L,30,2,I,12,True,PRON,dobj,19,surprises,dobj,False,True,20
30,77142,sbc011,4,9.95,10.1,10.07,11.55,1.6,1.45,O,31,4,DORIS;,29,6,,,.,.,.,.,endnote,final,7,False,0,False,-99.0,-99.0,-0.02,True,PRSDY,PUNCT,.,.,.,False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,31,2,I,13,True,PUNCT,punct,19,surprises,punct,False,True,21
31,77143,sbc011,4,9.95,10.1,10.07,11.55,1.6,1.45,O,32,4,DORIS;,29,7,,,"
","
",,,newline,,7,False,0,True,-99.0,-99.0,-0.02,False,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,32,2,L,14,True,,,,,,,False,
32,77144,sbc011,5,11.6,11.75,11.77,13.35,1.75,1.6,B,33,5,ANGELA;,30,1,,,(.),..,(.),..,pause,,9,False,0,False,11.6,11.77,-0.17,True,PAUSE,X,XX,(.),(.),False,,False,False,,False,True,,,,,,,,,,,,,,,2,B,1,3,B,1,True,,,,,,,False,
33,77145,sbc011,5,11.6,11.75,11.77,13.35,1.75,1.6,I,34,5,ANGELA;,30,2,6,1,Well,Well,Well,Well,word,,9,False,0,False,11.77,11.91,-0.14,True,INTJ,INTJ,UH,well,well,True,,False,False,,False,False,,,,,,,,,,,,,,,2,I,2,3,I,2,True,INTJ,intj,25,begun,intj,True,True,22
