,corpusSeq,docId,unitId,unitStart,unitStartSkipPause,unitStartSkipPauseAlt,unitEnd,unitDur,unitDurSkipPause,unitBil,tokenSeq,sequence,participant,participantId,order,back,place,transcript,transcriptDt1,text,textDt1,kind,endNote,unitLen,clitic,hostId,noSpaceAfter,wordStart,wordEnd,wordDur,wordDurExact,POS_dft,POS_Spacy,POS_Penn,Lemma,Norm,isAlpha,overlap,isOverlap,isLag,:loc,pause,microPause,laugh,@loc,unclear,#loc,%word,%loc,_word,pre-phonation,pseudograph,quality,co-action,tap,+loc,phonetic,turnSeq,turnBil,turnOrder,utteranceSeq,utteranceBil,utteranceOrder,verbalUnit,POS_Spacy_new,POS_Penn_new,head,head_word,dep,is_spaCy_start,spaCy_ignored,spacy_id
0,285650,sbc039,1,0.0,0.5,1.418,1.418,1.418,0.918,B,1,1,KIRSTEN;,134,1,,,(...),...,(...),...,pause,,5,False,0,False,0.0,0.473,-1.418,False,PAUSE,X,XX,(...),(...),False,,False,False,,True,False,,,,,,,,,,,,,,,1,B,1,1,B,1,True,,,,,,,False,
1,285651,sbc039,1,0.0,0.5,1.418,1.418,1.418,0.918,I,2,1,KIRSTEN;,134,2,,,(TSK),(TSK),(TSK),(TSK),vocalism,,5,False,0,False,0.473,0.945,0,False,VOCAL,X,XX,(tsk),(tsk),False,,False,False,,False,False,,,,,,,,,,,,,,,1,I,2,1,I,2,True,,,,,,,False,
2,285652,sbc039,1,0.0,0.5,1.418,1.418,1.418,0.918,L,3,1,KIRSTEN;,134,3,1,1,U:m,U=m,Um,Um,word,,5,False,0,True,0.945,1.418,0,False,INTJ,INTJ,UH,Um,Um,False,,False,True,2,False,False,,,,,,,,,,,,,,,1,I,3,1,I,3,True,INTJ,intj,11,tell,intj,True,True,0
3,285653,sbc039,1,0.0,0.5,1.418,1.418,1.418,0.918,O,4,1,KIRSTEN;,134,4,,,",",",",",",",",endnote,continuing,5,False,0,False,-99.0,-99.0,0,False,PRSDY,PUNCT,",",",",",",False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,4,1,I,4,True,PUNCT,punct,11,tell,punct,False,True,1
4,285654,sbc039,1,0.0,0.5,1.418,1.418,1.418,0.918,O,5,1,KIRSTEN;,134,5,,,"
","
",,,newline,,5,False,0,True,-99.0,-99.0,0,False,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,5,1,I,5,True,,,,,,,False,
5,285655,sbc039,2,1.418,1.918,1.418,2.797,1.379,0.8790000000000001,B,6,2,KIRSTEN;,134,1,,,(...),...,(...),...,pause,,6,False,0,False,1.418,1.763,0,False,PAUSE,X,XX,(...),(...),False,,False,False,,True,False,,,,,,,,,,,,,,,1,I,6,1,I,6,True,,,,,,,False,
6,285656,sbc039,2,1.418,1.918,1.418,2.797,1.379,0.8790000000000001,I,7,2,KIRSTEN;,134,2,3,1,first,first,first,first,word,,6,False,0,False,1.763,2.107,-0.8700000000000001,True,ADV,ADV,RB,first,first,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,7,1,I,7,True,ADV,advmod,11,tell,advmod,False,True,2
7,285657,sbc039,2,1.418,1.918,1.418,2.797,1.379,0.8790000000000001,I,8,2,KIRSTEN;,134,3,2,2,of,of,of,of,word,,6,False,0,False,2.107,2.4519999999999995,-0.09,True,ADP,ADP,IN,of,of,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,8,1,I,8,True,ADP,prep,2,first,prep,False,True,3
8,285658,sbc039,2,1.418,1.918,1.418,2.797,1.379,0.8790000000000001,L,9,2,KIRSTEN;,134,4,1,3,all,all,all,all,word,,6,False,0,True,2.4519999999999995,2.797,-0.4,True,DET,DET,DT,all,all,True,,False,False,,False,False,,,,,,,,,,,,,,,1,I,9,1,I,9,True,PRON,pobj,3,of,pobj,False,True,4
9,285659,sbc039,2,1.418,1.918,1.418,2.797,1.379,0.8790000000000001,O,10,2,KIRSTEN;,134,5,,,",",",",",",",",endnote,continuing,6,False,0,False,-99.0,-99.0,-0.019,False,PRSDY,PUNCT,",",",",",",False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,10,1,I,10,True,PUNCT,punct,11,tell,punct,False,True,5
