,corpusSeq,docId,unitId,unitStart,unitStartSkipPause,unitStartSkipPauseAlt,unitEnd,unitDur,unitDurSkipPause,unitBil,tokenSeq,sequence,participant,participantId,order,back,place,transcript,transcriptDt1,text,textDt1,kind,endNote,unitLen,clitic,hostId,noSpaceAfter,wordStart,wordEnd,wordDur,wordDurExact,POS_dft,POS_Spacy,POS_Penn,Lemma,Norm,isAlpha,overlap,isOverlap,isLag,:loc,pause,microPause,laugh,@loc,unclear,#loc,%word,%loc,_word,pre-phonation,pseudograph,quality,co-action,tap,+loc,phonetic,turnSeq,turnBil,turnOrder,utteranceSeq,utteranceBil,utteranceOrder,verbalUnit,POS_Spacy_new,POS_Penn_new,head,head_word,dep,is_spaCy_start,spaCy_ignored,spacy_id
0,201179,sbc028,1,0.23,8.59,0.23,9.09,8.860000000000001,0.5,B,1,1,>ENV;,,1,,,(...),...,(...),...,pause,,5,False,0,False,0.23,2.445,0,True,PAUSE,X,XX,(...),(...),False,,False,False,,True,False,,,,,,,,,,,,,,,1,B,1,0,B,1,False,,,,,,,False,
1,201180,sbc028,1,0.23,8.59,0.23,9.09,8.860000000000001,0.5,I,2,1,>ENV;,,2,,,((RING)),((RING)),((RING)),((RING)),action,,5,False,0,False,2.445,4.659999999999999,0,True,ACT,X,XX,((RING)),((ring)),False,,False,False,,False,False,,,,,,,,,,,,,,,1,I,2,0,I,2,False,,,,,,,False,
2,201181,sbc028,1,0.23,8.59,0.23,9.09,8.860000000000001,0.5,I,3,1,>ENV;,,3,,,(...),...,(...),...,pause,,5,False,0,False,4.659999999999999,6.875,0,True,PAUSE,X,XX,(...),(...),False,,False,False,,True,False,,,,,,,,,,,,,,,1,I,3,0,I,3,False,,,,,,,False,
3,201182,sbc028,1,0.23,8.59,0.23,9.09,8.860000000000001,0.5,L,4,1,>ENV;,,4,,,((RING)),((RING)),((RING)),((RING)),action,,5,False,0,False,6.875,9.09,0,True,ACT,X,XX,((RING)),((ring)),False,,False,False,,False,False,,,,,,,,,,,,,,,1,L,4,0,I,4,False,,,,,,,False,
4,201183,sbc028,1,0.23,8.59,0.23,9.09,8.860000000000001,0.5,O,5,1,>ENV;,,5,,,"
","
",,,newline,,5,False,0,True,-99.0,-99.0,0,True,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,1,O,5,0,I,5,False,,,,,,,False,
5,201184,sbc028,2,11.455000000000002,11.955000000000002,11.485000000000001,12.04,0.585,0.085,B,6,2,JILL;,95,1,,,(...),...,(...),...,pause,,4,False,0,False,11.455000000000002,11.485,-0.03,True,PAUSE,X,XX,(...),(...),False,,False,False,,True,False,,,,,,,,,,,,,,,2,B,1,1,B,1,True,,,,,,,False,
6,201185,sbc028,2,11.455000000000002,11.955000000000002,11.485000000000001,12.04,0.585,0.085,L,7,2,JILL;,95,2,1,1,Hello:,Hello=,Hello,Hello,word,,4,False,0,True,11.485,11.935,-0.45,True,NOUN,NOUN,NN,Hello,Hello,False,,False,True,6,False,False,,,,,,,,,,,,,,,2,L,2,1,I,2,True,INTJ,intj,3,baby,intj,True,True,0
7,201186,sbc028,2,11.455000000000002,11.955000000000002,11.485000000000001,12.04,0.585,0.085,O,8,2,JILL;,95,3,,,",",",",",",",",endnote,continuing,4,False,0,False,-99.0,-99.0,-0.10500000000000001,True,PRSDY,PUNCT,",",",",",",False,,False,False,,False,False,,,,,,,,,,,,,,,2,O,3,1,I,3,True,PUNCT,punct,0,Hello,punct,False,True,1
8,201187,sbc028,2,11.455000000000002,11.955000000000002,11.485000000000001,12.04,0.585,0.085,O,9,2,JILL;,95,4,,,"
","
",,,newline,,4,False,0,True,-99.0,-99.0,-0.03,True,SPACE,SPACE,_SP,"
","
",False,,False,False,,False,False,,,,,,,,,,,,,,,2,O,4,1,I,4,True,,,,,,,False,
9,201188,sbc028,3,12.04,12.19,12.09,13.57,1.53,1.38,B,10,3,JEFF;,98,1,,,(.),..,(.),..,pause,,11,False,0,False,12.04,12.065,-0.05,True,PAUSE,X,XX,(.),(.),False,,False,False,,False,True,,,,,,,,,,,,,,,3,B,1,2,B,1,True,,,,,,,False,
10,201189,sbc028,3,12.04,12.19,12.09,13.57,1.53,1.38,I,11,3,JEFF;,98,2,8,1,How,How,How,How,word,,11,False,0,True,12.09,12.185,-0.19,True,ADV,ADV,WRB,how,how,True,,False,False,,False,False,,,,,,,,,,,,,,,3,I,2,2,I,2,True,SCONJ,advmod,6,'s,advmod,True,True,5
11,201190,sbc028,3,12.04,12.19,12.09,13.57,1.53,1.38,I,12,3,JEFF;,98,3,7,2,'s,'s,'s,'s,word,,11,True,11,False,12.185,12.28,-0.19,True,AUX,AUX,VBZ,[GENITIVE],[GENITIVE],False,,False,False,,False,False,,,,,,,,,,,,,,,3,I,3,2,I,3,True,AUX,ROOT,6,'s,ROOT,False,True,6
12,201191,sbc028,3,12.04,12.19,12.09,13.57,1.53,1.38,I,13,3,JEFF;,98,4,6,3,my,my,my,my,word,,11,False,0,False,12.28,12.41,-0.13,True,DET,DET,PRP$,-PRON-,my,True,,False,False,,False,False,,,,,,,,,,,,,,,3,I,4,2,I,4,True,PRON,poss,9,girl,poss,False,True,7
