"word","back","theta_mean","theta_sd","lambda_mean","lambda_sd","mu_mean","mu_sd","phi_mean","phi_sd","psi_mean","psi_sd","waic","waic_scaled"
"that","FALSE","2.84388384364094","3.05924707939593","0.769127976564804","0.304877782335032","5.30124323102478","0.039266249756232","7.28203451319196","0.329411811671096","0.421128258922343","0.0456583315892598","54049.2823670993","9.07323860451558"
"this","TRUE","1.56876666998264","0.0727719374083783","0.0697936047196946","0.0571150784624858","5.44702102731917","0.063879559535442","10.3410486440647","0.960606691998331","0.546152186873638","0.0414978860805383","18587.5267099034","9.11153270093306"
"time","TRUE","0.208323234036535","0.095759518522088","0.759429867620417","0.198206671482208","6.54225304654478","0.140193469629914","14.260906642533","2.82606959065515","0.432987440521874","0.0470564370629398","4823.0817116226","9.45702296396589"
"what","FALSE","1.23927313814568","0.201049855766504","0.780718076798261","0.141275682859443","4.82795606802823","0.0696892494373258","5.36892239526336","0.393182487802815","0.308064240001583","0.0422525356078652","15289.4991544797","7.84076879716907"
"where","FALSE","0.301824127658713","0.182740385795326","0.806163598608478","0.175568947030712","5.13143150553671","0.154981296630326","5.55382159234983","0.876580529734511","0.363672078353166","0.0720744005530853","3374.45380984361","8.23037514596003"
"who","FALSE","0.107616275283149","0.08097437996946","0.711370781229167","0.242792987179616","5.38353323987971","0.180294388090526","3.39402804591418","0.406727723643144","0.366670516030179","0.0466512725833677","3724.23305857621","9.08349526482002"
