text_lower,sbc001,sbc002,sbc003,sbc004,sbc005,sbc006,sbc007,sbc008,sbc009,sbc010,sbc011,sbc012,sbc013,sbc014,sbc015,sbc016,sbc017,sbc018,sbc019,sbc020,sbc021,sbc022,sbc023,sbc024,sbc025,sbc026,sbc027,sbc028,sbc029,sbc030,sbc031,sbc032,sbc033,sbc034,sbc035,sbc036,sbc037,sbc038,sbc039,sbc040,sbc041,sbc042,sbc043,sbc044,sbc045,sbc046,sbc047,sbc048,sbc049,sbc050,sbc051,sbc052,sbc053,sbc054,sbc055,sbc056,sbc057,sbc058,sbc059,sbc060,sd,vbar,D,U,Urank
yeah,25,57,63,24,31,30,25,76,28,96,38,10,68,38,69,74,54,26,32,2,19,48,52,38,0,1,4,57,95,0,60,146,15,18,44,61,34,23,32,0,31,22,76,26,33,33,86,88,72,64,62,101,2,0,0,62,12,62,93,10,31.62409865623381,42.46666666666667,0.9030508564017611,2300.9735821116874,19
so,34,36,34,30,21,84,22,56,27,11,18,18,39,37,36,54,23,11,25,18,24,26,37,60,21,18,29,66,67,36,35,54,15,27,43,39,19,14,80,26,35,13,85,68,48,30,32,18,42,53,41,58,36,26,38,49,17,22,53,18,18.338129829666862,35.86666666666667,0.9334362132356147,2008.7547308830426,20
we,55,10,48,17,13,26,28,21,7,96,15,72,60,71,24,42,32,36,27,64,95,7,24,13,17,50,33,51,85,42,14,60,19,33,77,19,17,33,28,16,26,16,64,20,42,9,18,16,45,46,60,51,24,5,24,47,12,29,31,59,22.713761726130095,35.68333333333333,0.9171299419877778,1963.5752057958318,21
like,90,73,50,72,18,51,21,79,22,20,13,8,62,16,124,16,42,11,31,6,17,14,12,11,3,7,18,112,34,2,12,20,26,28,57,206,14,14,14,9,35,18,69,111,173,8,21,11,24,120,28,34,13,8,9,21,25,35,50,17,41.603573700257634,38.083333333333336,0.8577770515637553,1960.0205628231809,22
this,46,52,60,27,15,50,10,41,30,36,20,18,58,17,45,32,22,9,41,14,38,7,35,19,62,47,77,16,98,31,15,50,24,23,38,22,23,44,20,22,32,27,31,39,41,25,21,63,22,17,58,25,36,16,20,77,50,33,18,35,18.44827859316005,34,0.9293599617789896,1895.8943220291387,23
what,34,49,41,34,41,42,33,33,23,41,19,61,63,38,60,33,17,19,34,16,37,12,35,20,18,35,40,48,39,20,51,31,43,14,57,60,39,21,34,8,27,35,43,41,23,23,25,33,25,27,25,53,19,7,13,37,12,32,47,10,14.092310681324872,32.5,0.9435488436675349,1839.920245151693,24
have,51,37,39,62,19,26,14,30,33,38,28,42,57,47,53,41,32,14,41,26,23,16,40,38,23,34,22,23,42,16,53,26,24,20,53,29,15,34,32,14,37,24,58,29,25,21,33,17,37,33,48,19,26,14,20,42,29,17,46,21,12.6331440142039,31.716666666666665,0.948144132586239,1804.3182843116126,25
but,46,46,22,27,28,53,19,30,18,44,25,24,28,40,47,20,43,8,30,40,29,24,53,13,12,13,25,31,28,28,59,42,20,17,60,63,11,18,22,24,32,13,54,45,29,23,38,7,39,23,49,48,17,26,21,56,14,13,63,50,15.198684153570664,31.5,0.9371841225938137,1771.2779917023079,26
uh,10,15,13,11,1,17,12,22,2,35,25,20,8,42,31,46,77,2,13,228,41,15,80,5,37,65,7,5,58,47,4,130,12,6,17,15,28,11,9,6,29,7,13,14,32,28,76,12,14,5,22,97,79,10,29,31,19,7,31,108,38.10311240753494,31.516666666666666,0.8426038273088241,1593.3638374409863,27
there,36,48,27,20,10,50,33,36,20,21,19,21,25,23,39,22,23,4,22,25,25,25,29,35,16,17,17,38,70,12,24,35,21,25,44,35,14,25,33,19,18,18,28,18,31,26,19,17,25,13,49,22,24,12,11,34,28,34,57,47,12.217936245606085,26.9,0.9408684083922456,1518.5616111450843,28
