text_lower,sbc001,sbc002,sbc003,sbc004,sbc005,sbc006,sbc007,sbc008,sbc009,sbc010,sbc011,sbc012,sbc013,sbc014,sbc015,sbc016,sbc017,sbc018,sbc019,sbc020,sbc021,sbc022,sbc023,sbc024,sbc025,sbc026,sbc027,sbc028,sbc029,sbc030,sbc031,sbc032,sbc033,sbc034,sbc035,sbc036,sbc037,sbc038,sbc039,sbc040,sbc041,sbc042,sbc043,sbc044,sbc045,sbc046,sbc047,sbc048,sbc049,sbc050,sbc051,sbc052,sbc053,sbc054,sbc055,sbc056,sbc057,sbc058,sbc059,sbc060,sd,vbar,D,U,Urank
pregnant,1,6,0,1,0,0,4,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.786958404379646,0.6,0.6122630522763053,22.041469881946988,593
liked,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,2,0,1,0,2,1,0,0,1,0,2,3,4,0,0,0,1,0,0,1,1,0.8923719424185295,0.48333333333333334,0.7596339350897018,22.029384117601353,594
bill,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,2,15,0,0,0,2.5597934238686832,0.7,0.5239189740152308,22.00459690863969,595
decided,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,3,1,0,0,0,1,1,2,0,0,0,0,1.033342445740758,0.5,0.7309405446374992,21.928216339124976,596.5
behind,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,1,0,2,6,0,1,1,0,0,0,1.033342445740758,0.5,0.7309405446374992,21.928216339124976,596.5
men,0,7,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,2,1,0,3,0,0,1,0,0,5,0,0,0,0,0,0,0,1.2949270860523732,0.5333333333333333,0.6839028491261311,21.884891172036195,598
straight,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,2,5,0,2,1,0.911167376885589,0.48333333333333334,0.7545712651351957,21.882566688920672,599
forgot,1,0,0,0,0,3,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,2,1,1,0,0,0,2,0,2,0,2,0.7911944770819447,0.4666666666666667,0.7792755414028412,21.819715159279554,600
walked,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,4,0,1,0,0,0,4,1.18595833617427,0.5166666666666667,0.7011639530545328,21.73608254469052,601
sense,0,0,0,1,0,2,0,0,0,2,0,10,1,0,1,0,0,0,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.442984195973923,0.55,0.6584353799338458,21.72836753781691,602
hurt,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,1,14,1,0,0,0,0,1,0,0,1,0,5,1,0,0,1.9579621598000916,0.6166666666666667,0.586640603255077,21.70570232043785,603
plus,1,0,0,0,0,1,0,1,4,0,0,0,2,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,2,1,1,0,2,0,0,0,0,0,0,1,0.8329377592200171,0.4666666666666667,0.7676301575978678,21.4936444127403,604.5
running,0,2,2,0,2,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,4,0,1,0,0,1,0,0.8329377592200171,0.4666666666666667,0.7676301575978678,21.4936444127403,604.5
oo,0,5,3,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,2,1,0,0,0,0,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.1274690420042432,0.5,0.7064320665137496,21.19296199541249,606.5
center,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,1,0,1,0,4,1,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0,2,0,0,0,1.1274690420042432,0.5,0.7064320665137496,21.19296199541249,606.5
movie,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,3,0,0,0,1,0,5,0,0,2.034379651139814,0.6166666666666667,0.5705075600484744,21.108779721793553,608
worked,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,1,1,8,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,1,3,2,0,0,0,0,0,0,1,1.2688132272520323,0.5166666666666667,0.6802862987857936,21.088875262359604,609
town,0,0,0,1,0,0,2,0,0,0,1,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,1.1424030574900927,0.5,0.7025435800884026,21.076307402652077,610
york,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,6,0,0,0,0,2,1,0,0,0,0,42,0,0,0,1,0,0,0,0,5,5.495349857515641,1.0666666666666667,0.32928098742944967,21.07398319548478,611
yourself,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,5,1,3,1,1,0,0,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1.0166689821220274,0.48333333333333334,0.7261537359783805,21.058458343373033,612
involved,0,0,0,0,0,0,1,0,0,2,0,0,0,1,3,2,0,0,0,1,0,0,0,0,0,5,0,0,0,6,0,2,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.1571443517761548,0.5,0.698705273989302,20.96115821967906,613
teach,0,7,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1.5450851548031974,0.55,0.6342673569518802,20.930822779412047,614
folks,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2.828976377531769,0.7166666666666667,0.4860911342585995,20.901918773119778,615
putting,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,6,0,0,2,2,0,1,0,0,1.1717001988274147,0.5,0.6949152542372882,20.847457627118644,616
realize,2,2,0,1,0,1,3,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,2,0,1,1,0,0,0,0,0,0.7903013799725018,0.45,0.7713589422105283,20.826691439684264,618
using,2,3,1,0,0,0,0,0,0,0,0,1,1,2,0,2,0,1,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0.7903013799725018,0.45,0.7713589422105283,20.826691439684264,618
taken,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0.7903013799725018,0.45,0.7713589422105283,20.826691439684264,618
seventeen,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,2,0,4,0,3,0,0,1,0,0,0,0,0,2,0,1,0,3,0,0,2,0,0,0,0,0.9291269214473296,0.4666666666666667,0.7407956670010143,20.742278676028402,620
seventy,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,2,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,1.1860774262319258,0.5,0.6911717430798543,20.73515229239563,621
art,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,9,1.9588997257627099,0.6,0.5749549633038638,20.698378678939093,622
office,0,0,0,4,0,0,0,1,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,0,0,4,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,1,1.0655096125625882,0.48333333333333334,0.7129982011742284,20.676947834052623,623.5
sign,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,2,1,3,0,0,2,0,1,0,1,0,0,0,2,0,0,0,1.0655096125625882,0.48333333333333334,0.7129982011742284,20.676947834052623,623.5
horses,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,3.370317425410046,0.7833333333333333,0.43985792943766644,20.673322683570323,625
wall,3,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,5,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2.1080287736969967,0.6166666666666667,0.5549589669775348,20.533481778168785,626
meet,0,3,0,2,0,1,2,0,0,5,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0.9649214715859957,0.4666666666666667,0.7308098380690112,20.462675465932314,627
tree,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,2,0,3,0,0,0,0,6,0,1.2281997297960892,0.5,0.68020402942181,20.4061208826543,628
watching,2,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,2,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.9823297569616983,0.4666666666666667,0.7259533401080696,20.32669352302595,629.5
son,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,4,0.9823297569616983,0.4666666666666667,0.7259533401080696,20.32669352302595,629.5
gosh,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,1,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1.3715223098177016,0.5166666666666667,0.6544058143850244,20.28658024593576,631
eyes,0,6,0,1,2,0,0,0,0,0,1,0,2,0,3,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0.9994348685618164,0.4666666666666667,0.7211814204264448,20.193079771940454,632.5
interested,0,1,0,0,6,0,0,1,0,2,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0.9994348685618164,0.4666666666666667,0.7211814204264448,20.193079771940454,632.5
past,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,3,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7448504949901058,0.43333333333333335,0.7762201351085627,20.18172351282263,634
wear,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,13,0,0,1,3,0,0,0,0,0,0,2,0,1.907093508383245,0.5833333333333334,0.5743729822942628,20.103054380299202,635
whether,1,0,1,3,0,0,0,0,0,4,1,0,0,2,1,1,1,0,0,1,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.8911048179704616,0.45,0.7421956315081341,20.03928205071962,636
english,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,2,1.4081080788000333,0.5166666666666667,0.64518698582785206,20.000796560663414,637
santa,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,1,0,0,2.0601135397375963,0.6,0.5529934362745201,19.907763705882722,638
afternoon,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,2,0,3,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0.9099264265284942,0.45,0.7367503765724059,19.89226016745496,639
hair,0,0,0,4,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,4,0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1.0490781533095674,0.4666666666666667,0.7073321236146863,19.80529946121122,640
birthday,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,2.7152530029550648,0.6833333333333333,0.4826890270846854,19.7902501104721,641
gotten,1,0,0,0,2,0,1,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0.6712413662397546,0.4166666666666667,0.7902683620575184,19.75670905143796,642
perfect,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,2,0,1,1,0,1,0,2,0,0,0,0.9283665260982114,0.45,0.7314154955027183,19.748218378573394,643
cost,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,1,0,2,1.0651118611846166,0.4666666666666667,0.7028591001134635,19.68005480317698,644
tired,3,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,2,0,0,0,4,0,0,0,1,1,0,1.0809077582850926,0.4666666666666667,0.6984524201674434,19.556667764688417,645.5
cute,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,1,0,0,0,2,0,0,3,0,0,0,0,2,0,3,0,5,0,0,0,4,0,0,0,0,1.0809077582850926,0.4666666666666667,0.6984524201674434,19.556667764688417,645.5
clean,1,0,3,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0.9641893055563066,0.45,0.7210516540672613,19.46839465981606,647
oil,0,0,2,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1.4785662623265807,0.5166666666666667,0.6274330357962232,19.45042410968292,648
older,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,2,0,0,0,1,0,0,1,7,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1.0964761224056134,0.4666666666666667,0.69410921651615,19.4350580624522,649
tape,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,48,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,6,0,0,0,1,0,2,0,0,6.217707536194487,1.1333333333333333,0.28575596505786316,19.431405623934694,650
human,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,3,0,9,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3592121347010717,0.5,0.6460913047826932,19.382739143480794,651
wrote,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,4,4,0,0,1,0,2,2,0,0.9816105755511695,0.45,0.7160115292482967,19.332311289704013,652
eleven,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,4,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.396120532895667,0.5,0.6364811764486913,19.094435293460737,653
husband,0,4,0,0,0,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,1.1419084036208365,0.4666666666666667,0.6814346896273262,19.080171309565134,654
john,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,25,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,3.4511931941397944,0.7666666666666667,0.41394728235283806,19.041574988230554,655
sell,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,2,1,0,0,1,1,0,0,0,1,1.420193350407744,0.5,0.6302131486564164,18.906394459692493,656
party,0,0,0,0,0,12,0,0,0,1,0,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,2,1,1.6820756615186625,0.5333333333333333,0.5893982526991308,18.860744086372186,657
easy,2,0,0,2,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,0,0,1,1,1,4,0,0.7874366623260193,0.4166666666666667,0.753962748316962,18.84906870792405,658.5
above,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,2,0,0,0,0.7874366623260193,0.4166666666666667,0.753962748316962,18.84906870792405,658.5
service,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,6,4,6,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1.3082744058124636,0.48333333333333334,0.6476079582962571,18.780630790591452,660
hands,1,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.9273009250775702,0.43333333333333335,0.7214054671060937,18.756542144758434,661
lotta,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,3,3,0,0,0,10,0,0,1,3,1.455556274348955,0.5,0.6210054275424085,18.630162826272255,662
size,4,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,3,1.0802542073708266,0.45,0.687473069244309,18.561772869596343,663
period,0,0,0,0,0,2,0,0,0,1,0,1,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0.8293691019953858,0.4166666666666667,0.7408608155441845,18.521520388604614,664
within,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,2,0,0,0,1,1,0,0,0,1,4,1,0,0,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.2138559748518833,0.4666666666666667,0.6613630268852864,18.518164752788017,665
shoot,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,9,0,0,0,1.3465796805826946,0.48333333333333334,0.6372901886262758,18.481415470162002,667
friday,0,1,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,2,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3465796805826946,0.48333333333333334,0.6372901886262758,18.481415470162002,667
paul,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,4,0,6,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3465796805826946,0.48333333333333334,0.6372901886262758,18.481415470162002,667
worry,0,1,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,3,0,0,0,0,0,0,2,1,0,2,0,0.7178121183764841,0.4,0.7663720550493183,18.39292932118364,669
drive,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2,1,1,0,0,0,0,2,0,3,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0.849559540249757,0.4166666666666667,0.7345522447396353,18.363806118490885,670
bet,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0.7410482726333564,0.4,0.7588093310041066,18.21142394409856,673
dead,2,0,0,1,2,2,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0.7410482726333564,0.4,0.7588093310041066,18.21142394409856,673
imagine,2,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,1,0.7410482726333564,0.4,0.7588093310041066,18.21142394409856,673
lady,0,3,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,2,0,0.7410482726333564,0.4,0.7588093310041066,18.21142394409856,673
hate,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,0,1,2,1,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,3,0,0.7410482726333564,0.4,0.7588093310041066,18.21142394409856,673
trouble,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0.6131791749276648,0.38333333333333336,0.7917500982088188,18.210252258802832,676
fall,0,1,0,0,0,1,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,2,6,0,0,0,0.9977375536626355,0.43333333333333335,0.7002437717938235,18.20633806663941,677
meeting,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1.6415336634871616,0.5166666666666667,0.5863687484107953,18.17743120073466,678
