"word","model_type","back","hurdle_place","theta_mean","theta_se_mean","theta_sd","theta_2.5%","theta_25%","theta_50%","theta_75%","theta_97.5%","theta_n_eff","theta_Rhat","lambda_mean","lambda_se_mean","lambda_sd","lambda_2.5%","lambda_25%","lambda_50%","lambda_75%","lambda_97.5%","lambda_n_eff","lambda_Rhat","mu_mean","mu_se_mean","mu_sd","mu_2.5%","mu_25%","mu_50%","mu_75%","mu_97.5%","mu_n_eff","mu_Rhat","phi_mean","phi_se_mean","phi_sd","phi_2.5%","phi_25%","phi_50%","phi_75%","phi_97.5%","phi_n_eff","phi_Rhat","psi_intercept_mean","psi_intercept_se_mean","psi_intercept_sd","psi_intercept_2.5%","psi_intercept_25%","psi_intercept_50%","psi_intercept_75%","psi_intercept_97.5%","psi_intercept_n_eff","psi_intercept_Rhat","psi_slope_mean","psi_slope_se_mean","psi_slope_sd","psi_slope_2.5%","psi_slope_25%","psi_slope_50%","psi_slope_75%","psi_slope_97.5%","psi_slope_n_eff","psi_slope_Rhat","alpha_intercept_mean","alpha_intercept_se_mean","alpha_intercept_sd","alpha_intercept_2.5%","alpha_intercept_25%","alpha_intercept_50%","alpha_intercept_75%","alpha_intercept_97.5%","alpha_intercept_n_eff","alpha_intercept_Rhat","alpha_slope_mean","alpha_slope_se_mean","alpha_slope_sd","alpha_slope_2.5%","alpha_slope_25%","alpha_slope_50%","alpha_slope_75%","alpha_slope_97.5%","alpha_slope_n_eff","alpha_slope_Rhat","waic","waic_scaled"
"'d","gen","FALSE",NA,"2.06056924239007","0.00153943623727012","0.0920221267673904","1.87915959236165","1.99874902328808","2.0609293020597","2.12230022228926","2.24209719599994","3573.23123599054","1.00043151277764","0.197429493729699","0.000585445118948162","0.0369854678629197","0.128165624504973","0.171852090851762","0.196435709098383","0.221477641646138","0.271891984984093","3991.07468424082","0.999642284219397","6.09509243159039","0.00215158125348085","0.131948395408682","5.84104156452147","6.00593922900975","6.09225516334689","6.18221953601016","6.35736110738688","3760.9081160365","1.00049663302472","20.8035350372199","0.0840535172667737","5.09386845126148","13.1604462215676","17.2144288730625","20.0546836372525","23.5293703374605","32.8217082135611","3672.68488298039","1.00059220433747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3668.0105945014","8.11506768695"
"'d","hurdle","FALSE","1","1.27944340712476","0.0057053611681962","0.301180451601157","0.680054357895903","1.08366075122992","1.2836059694933","1.48107816723503","1.87648371980414","2786.68112823737","0.999921427711482","0.33260045127394","0.000875092221145555","0.0462573866814977","0.237949919926047","0.30293777551052","0.332548179283276","0.363591725240824","0.422140771849211","2794.18103422701","1.00049809228556","6.09829357582903","0.00214288347567355","0.1321863543071","5.84756403880447","6.0068102610593","6.09704532083069","6.18742962546037","6.35875323599321","3805.18817145911","0.999469777504313","20.8702195611478","0.0840720254695711","4.79435807795559","13.4901933884144","17.405483840718","20.1819515988747","23.6655940122549","32.2879863470182","3252.05523437916","0.999512647020817","1.68959860320256","0.00573514124279907","0.267212917898837","1.18434366809314","1.50390893952811","1.68226107498834","1.87039725874474","2.23709793856032","2170.83423959687","1.00044018597991","-0.280009448736392","0.000894131531150538","0.0418392339577616","-0.365373310233738","-0.30762641586194","-0.278391046004269","-0.251218900375162","-0.201212198646215","2189.59921148573","0.999769668605322","-5.34650484828022","0.0694933017091953","3.28012266785017","-12.3484898482175","-7.49404496681846","-5.03027393456796","-2.93668461072743","0.189084031576631","2227.89274331528","1.00188300021386","-0.952971456842931","0.013890491101022","0.690799696132062","-2.481205269944","-1.40388307175894","-0.883541398861","-0.455322678882142","0.204663433722738","2473.25601844429","1.00029431739802","3430.88292596271","7.59044895124493"
"'ll","gen","FALSE",NA,"1.93357023186073","0.00113746169608877","0.0678125647201499","1.80599654852377","1.88654766590354","1.93237524553871","1.98009522577164","2.06786829927793","3554.24023198947","1.00002759459269","0.0744415125929154","0.000449157905031782","0.0256078322361381","0.0266346651872504","0.0563243871615586","0.0740827417510395","0.0917344044812259","0.127161485921051","3250.48028951755","0.999703394986243","5.8246542223848","0.00170481549167224","0.107565271827692","5.61748616522012","5.75160322099842","5.82324263932975","5.89727878887587","6.04133084147513","3980.97446395164","0.999958623040726","15.6360732582381","0.0524222062005579","2.97279899502478","11.0609483684946","13.5563937948822","15.2587751913338","17.2378318993303","22.6514651260235","3215.88494260409","0.999742477792106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5321.74031623646","7.84917450772339"
"'ll","hurdle","FALSE","1","0.57834443157831","0.00574165997619802","0.249339421859773","0.140027751864456","0.39661964685223","0.568887476138595","0.744352818664467","1.09380028307088","1885.84917752931","1.0003941835361","0.314762751567181","0.000831126531076879","0.0374599526852772","0.237827551090985","0.290477269453638","0.316273451573057","0.341046186343211","0.383665415818583","2031.42202568127","1.00065702716412","5.82517715397386","0.00184533519657367","0.106840396075157","5.6215299005627","5.75255143691428","5.82315371302285","5.89629426991853","6.04112497939126","3352.12687736864","0.999874290956226","15.5728578031351","0.0522701173169173","2.85749108889786","11.0321251862036","13.5267882318354","15.2029347267083","17.2058179715515","22.1271981931045","2988.56578282669","0.999489051787407","1.49235675862728","0.00485688557783449","0.191841781340188","1.12049051657982","1.36330659842535","1.49425226810633","1.61735890740777","1.86851819370975","1560.1654367164","1.00096953493455","-0.217847918503381","0.000765250038661147","0.030304590068837","-0.277889277832279","-0.237333696937819","-0.218516482507166","-0.197429591972952","-0.158965947715377","1568.23126143734","1.00127654697112","-5.83320599214258","0.0808372785299526","3.28400801327711","-13.262960719385","-7.77434304779581","-5.4560168364253","-3.48516498351707","-0.356715635110263","1650.38416519051","1.00350459646357","-0.92287505114307","0.015209749454959","0.682186299152935","-2.43404892033192","-1.34203830212356","-0.853151006063883","-0.435279729781883","0.230300660268237","2011.69374499202","1.00012292667905","4924.58216222238","7.26339551950203"
"'m","gen","FALSE",NA,"1.99645737543747","0.000994787421421419","0.0622818170414643","1.87593363849263","1.95383872325151","1.99507604521931","2.03795243720759","2.11838570287717","3919.78257907906","0.999674877159343","0.168800675658666","0.00040929088201789","0.0245292654871964","0.122094309651829","0.152287911953095","0.168598334388343","0.184981258489709","0.219197008557802","3591.74046876013","0.999336610522123","5.8230223086821","0.00154411803229901","0.10057136097621","5.62804267040491","5.75518910142697","5.82363465248944","5.88990102377236","6.02169063024745","4242.16606022907","1.00012752566413","10.0662984323878","0.0204394949036376","1.29004991955342","7.89059550292407","9.15332320591066","9.95820654050917","10.9057860078725","12.8983287555641","3983.57238616804","0.999833506130203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7405.88301328407","8.09386121670391"
"'m","hurdle","FALSE","1","1.29359363155874","0.00536630828969946","0.258680313266011","0.778091538431373","1.11999482432461","1.29426473295642","1.47434134869517","1.78602841759918","2323.67571230204","1.00014784486688","0.322937684217521","0.000772279487361395","0.0368276149534558","0.25006217196256","0.29760133755169","0.323464560149822","0.348363257957556","0.394048654588734","2274.04046465786","1.00006173461356","5.8194853419619","0.00156778825164225","0.0981993954496384","5.62711325853253","5.7557160017347","5.81919102787332","5.88612498226213","6.01549604572791","3923.22139452116","0.999654972948336","10.0925247334692","0.0218799803651437","1.29364649747741","7.92432275555188","9.17421438954971","9.97807204644227","10.9206553172792","12.9535977440599","3495.72594749083","0.999888248692896","1.21346383986102","0.00301799592499597","0.148900146462546","0.927934258768387","1.11022107088972","1.21013449621636","1.31604319369755","1.50161941041281","2434.18146844775","0.999752076219403","-0.164502311062771","0.000458648217289894","0.0227321345957965","-0.209064857111542","-0.179682342235859","-0.164195971936617","-0.148906880161996","-0.120707955245083","2456.52403694237","0.999882171719093","-6.01486668936578","0.0591216566699149","2.96517083488264","-12.2899163655365","-7.94011137617658","-5.68374353981217","-3.90652535389823","-0.91713778459596","2515.39532499444","1.00021254978298","-0.942310267504576","0.0146459776255542","0.711065842908216","-2.46369727479154","-1.40537900439399","-0.854601589671504","-0.419976215917866","0.240199794996276","2357.12656087326","1.00070504390612","6910.15704950667","7.55208420711112"
"'re","gen","FALSE",NA,"2.32056264151888","0.000977844271345338","0.0637662326198867","2.19445523311677","2.27879926798086","2.32042751300294","2.36176750666158","2.44738392883968","4252.47850113076","0.999696335839802","0.28876150274496","0.00045724101381234","0.0285696106075613","0.235541982798266","0.269689989050925","0.287978264764657","0.307072730383093","0.347560565236719","3904.07618769515","0.999746446260706","5.7083230556824","0.00124030080293889","0.0839039445743849","5.5459913033905","5.653179427078","5.70726497872831","5.76514484631036","5.87306260312161","4576.26017874829","1.00045181280871","14.3345451331427","0.0315498397094583","1.99860629507912","10.9919335940232","12.9138571651762","14.1452463992074","15.5437824564534","18.7408466689456","4012.91709696062","0.999930030566817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9570.79356724806","8.15924430285427"
"'re","hurdle","FALSE","1","1.67717108662571","0.00380324938273523","0.19294071281115","1.30048234272889","1.54628103827085","1.67511363543996","1.80508700947802","2.05734937705092","2573.58282993455","1.001210111892","0.339645438804305","0.000564127727538745","0.0285485222154363","0.283693022104732","0.320933398528545","0.340483271001166","0.359001851481098","0.394971059196121","2561.01647362681","1.00080847374114","5.70694175363836","0.00141626413620905","0.0826186985079283","5.54621086265416","5.65209446372384","5.70464239792592","5.76145269786755","5.87550683920394","3403.04884768787","0.999721127361719","14.3225051409015","0.0333039663583992","1.98089051257813","11.0269317173297","12.9297229956957","14.1216585589016","15.5149097837017","18.7513185625527","3537.76536261029","0.9997388053044","1.38559907111351","0.00322993658088678","0.15058774095133","1.09398061390849","1.28455890887216","1.38587007764774","1.48707784478105","1.67694452798443","2173.65816183406","1.00027084945094","-0.292624619061943","0.00055192284582905","0.0258317557227164","-0.344005511569576","-0.309809155645046","-0.292975195743666","-0.275275606848852","-0.242760664446247","2190.53959550401","1.00048184852372","-6.2179711401944","0.071907105806898","3.11102912466942","-12.9340143101013","-8.08624945501027","-5.9214004805514","-4.01451487785442","-0.939628359086685","1871.821948701","1.00095023496501","-0.978989169127398","0.0143456523880285","0.70564158912504","-2.5013877932877","-1.41504501039461","-0.926575742540507","-0.459988817907102","0.209407417469513","2419.51173226578","1.000299042552","9150.09603862267","7.80059338331004"
"'s","gen","FALSE",NA,"2.12415792334268","0.000419083751802886","0.027688316660216","2.07000764628418","2.10553840431973","2.1238350690368","2.14257894027231","2.17806983595506","4365.07248514002","1.00073287026527","0.166885395113496","0.000183717195368736","0.01113637776269","0.145439771617927","0.159325900207253","0.16684588667201","0.17413695551034","0.189386901030429","3674.41576026368","0.999827260958063","5.04365371301644","0.000508643990155321","0.0355937369681012","4.97418812472842","5.01949936947918","5.04423365745394","5.06754249331644","5.11182207069226","4896.87861236192","0.999114169633198","12.6327817331181","0.0132809431228431","0.842624733287826","11.1249273655999","12.0505468581822","12.5948489161169","13.1601179443817","14.3966906182664","4025.41417697466","0.999748314852927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41759.5138075507","7.70186532784042"
"'s","hurdle","FALSE","1","1.31825914452435","0.00198399168291683","0.104097087171578","1.11506975050507","1.24773305934955","1.31854850853681","1.38777303636385","1.52238879002241","2752.94452662734","1.00014845115056","0.29921382849381","0.000287321196096082","0.0150812980092471","0.269608640677885","0.288916308422565","0.299448611138294","0.309390656292119","0.328990653211719","2755.13010414217","1.00040527915368","5.04370204487175","0.000570603074347559","0.036887113296155","4.97133405503314","5.01859228295887","5.04391025014235","5.0684925766852","5.11497671070174","4179.0842324087","0.999792399006844","12.6072594418784","0.0126582792159262","0.839374394844681","11.0612145516716","12.0136305872112","12.564066879103","13.1459445431098","14.3965683445265","4397.05696053472","1.00016190428327","1.74327880113389","0.00133107579306469","0.0683635777365295","1.611183427375","1.6970359728119","1.74309898606749","1.79117785172705","1.87510387794092","2637.81294442774","1.00139000993302","-0.30782592130637","0.000239433389442263","0.0125083446174002","-0.332614235858148","-0.316275908119112","-0.307519607161151","-0.299773266734094","-0.283282472830612","2729.16786513271","1.00120694038309","-2.53187000516696","0.0274624793530119","1.39582685624472","-5.44446806592139","-3.4433493437748","-2.47199796040205","-1.55362019162717","-0.0116412471790068","2583.35216294069","1.00086241991391","-1.52582289426232","0.0120146229129715","0.579348494587991","-2.72389547243304","-1.91575121966968","-1.49543375608231","-1.10482975872994","-0.503234816080866","2325.1955126862","1.00117133077079","39022.4187919333","7.19705252525514"
