"word","model_type","back","hurdle_place","theta_mean","theta_se_mean","theta_sd","theta_2.5%","theta_25%","theta_50%","theta_75%","theta_97.5%","theta_n_eff","theta_Rhat","lambda_mean","lambda_se_mean","lambda_sd","lambda_2.5%","lambda_25%","lambda_50%","lambda_75%","lambda_97.5%","lambda_n_eff","lambda_Rhat","mu_mean","mu_se_mean","mu_sd","mu_2.5%","mu_25%","mu_50%","mu_75%","mu_97.5%","mu_n_eff","mu_Rhat","phi_mean","phi_se_mean","phi_sd","phi_2.5%","phi_25%","phi_50%","phi_75%","phi_97.5%","phi_n_eff","phi_Rhat","psi_intercept_mean","psi_intercept_se_mean","psi_intercept_sd","psi_intercept_2.5%","psi_intercept_25%","psi_intercept_50%","psi_intercept_75%","psi_intercept_97.5%","psi_intercept_n_eff","psi_intercept_Rhat","psi_slope_mean","psi_slope_se_mean","psi_slope_sd","psi_slope_2.5%","psi_slope_25%","psi_slope_50%","psi_slope_75%","psi_slope_97.5%","psi_slope_n_eff","psi_slope_Rhat","alpha_intercept_mean","alpha_intercept_se_mean","alpha_intercept_sd","alpha_intercept_2.5%","alpha_intercept_25%","alpha_intercept_50%","alpha_intercept_75%","alpha_intercept_97.5%","alpha_intercept_n_eff","alpha_intercept_Rhat","alpha_slope_mean","alpha_slope_se_mean","alpha_slope_sd","alpha_slope_2.5%","alpha_slope_25%","alpha_slope_50%","alpha_slope_75%","alpha_slope_97.5%","alpha_slope_n_eff","alpha_slope_Rhat","waic","waic_scaled"
"look","gen","FALSE",NA,"2.46605058452435","0.00596643449058482","0.268931088424276","1.97089132186418","2.27470310639819","2.45937832896463","2.64478264113905","2.9994980497804","2031.66578114004","1.0023811329701","0.831707019856345","0.00259417323796734","0.115765625680002","0.574840984426597","0.753634084988598","0.849800086267368","0.927335116029223","0.991525629717134","1991.41281344585","1.00116821319173","4.9194504468762","0.00320219032981242","0.162085136886395","4.61124983929806","4.81019184791958","4.91715555956037","5.02810035137378","5.2501303670351","2562.07654637704","1.00146548027349","8.87241410501956","0.0434545072483432","2.18021211140039","5.59578738085902","7.36946212883942","8.54312337491137","9.98024236479236","14.1205559817839","2517.25861902386","1.00136502248188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2438.89180664406","8.07580068425185"
"lot","gen","FALSE",NA,"4.18954830135303","0.00381305814820558","0.237133203976489","3.75063557068138","4.03272656265752","4.18296717247319","4.34584675305651","4.66671318085075","3867.56732117152","1.00003459500157","0.389931445268161","0.00172139213234771","0.0954684997492311","0.22508713315972","0.323495544227809","0.38105167503758","0.448337507600319","0.604065976768369","3075.81753388444","1.00202646191193","6.84165374307645","0.00291189158435352","0.193161336672526","6.46987048965512","6.70884875301256","6.84023652432719","6.9754803515727","7.22452191479344","4400.37817039843","0.99949633171022","18.1702536318867","0.0829034896208751","4.88024426439633","10.899028797453","14.7417774466804","17.4310482716061","20.8986181849811","29.9050353958812","3465.2733325146","1.00078563904181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2217.03191348483","8.69424279797973"
"make","gen","FALSE",NA,"3.08216552053849","0.00476492010503861","0.208176935715489","2.73474730661802","2.94423365333312","3.06342006497624","3.19929543605212","3.54027970095362","1908.77165447607","1.00081749568367","0.4811235384345","0.0029693506882698","0.114120017407737","0.309480062148971","0.404362077974197","0.463391734948424","0.537083694447044","0.773307522454934","1477.0686294649","1.00148254389461","6.16043855764645","0.0026808105082656","0.169443762066728","5.8294768050659","6.04324164680545","6.15911993046973","6.27528637405454","6.49919115543426","3995.0198008032","0.999300381869369","21.1505467304331","0.097395033588654","5.60627677990788","12.6913757520596","17.1441264550743","20.2734453159862","24.3627126728745","34.4821137744819","3313.41204316879","0.999482127604318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2495.2778152563","8.45856886527558"
"make","hurdle","FALSE","-1","3.83032407542033","0.0129372912096117","0.412779710835434","3.26301546120749","3.55627469466889","3.74940986058847","3.99633473459929","4.96887033139486","1018.00515473422","1.00195557502901","0.547693607527309","0.00477685210703352","0.160411165116219","0.305728122143817","0.430122330185659","0.518906784542614","0.636698653533729","0.941502376909083","1127.67926584822","1.00079068153398","6.11970358492581","0.00289823790512616","0.174321411607523","5.77917080986635","6.00262718379571","6.11786108640897","6.2350054894706","6.46435259370189","3617.70711322962","1.00065559760498","12.123128460009","0.0371780380206723","2.14422809685437","8.61650975458456","10.6463518957221","11.8982558699738","13.3764034456631","16.9135100146129","3326.35832238409","1.00148559331579","-1.57553037294683","0.0134759082550323","0.676033819915485","-2.87260695996993","-2.0355092995811","-1.58143501682846","-1.12180506597059","-0.255940145836618","2516.63802701392","0.99964803031374","-0.27836401648032","0.00259038147350296","0.130028530194455","-0.552688748600756","-0.362553297873516","-0.272110653136551","-0.184740301897312","-0.0492257942340249","2519.70591918021","1.00013537274603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2456.26267918783","8.32631416673841"
"maybe","gen","FALSE",NA,"0.960230723903002","0.00225586031152819","0.111723055343866","0.756693503919462","0.879703297720971","0.955454646949301","1.0334356216591","1.18973783063437","2452.7947107919","1.00023399779014","0.895490015665667","0.00149161855936846","0.0755166445646185","0.726516110791486","0.844201110977165","0.909665933708455","0.95750895145168","0.996412062653694","2563.12515306034","1.00024874006862","5.05365088631441","0.00344973302961601","0.206675207578665","4.65971487073795","4.91300020593425","5.04589000682117","5.1925721489968","5.48148058039124","3589.26720818105","0.999491324865896","4.7525641520381","0.0156420439876964","0.884567343939935","3.3050016765075","4.12263697394002","4.64819845928753","5.27204775395395","6.76355416590622","3197.97304442272","0.999577760223915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1945.34827996806","7.62881678418847"
"me","gen","TRUE",NA,"1.64501448971403","0.00198681082094236","0.087403237140379","1.47638549027029","1.58509939950021","1.64548762029968","1.70492894098726","1.81747874033223","1935.27195166083","1.001771329374","0.951250891222699","0.000821964191061096","0.0352321772659215","0.86748422638007","0.929646623956383","0.957664886860119","0.979297577554788","0.998086172866996","1837.27078409522","1.00368979913689","5.63455662300862","0.00177482627822441","0.0913095551237256","5.46502364641327","5.57204941158471","5.63320775404226","5.69764083546678","5.81554517274362","2646.79772735163","1.00015415680318","9.65059399198067","0.0215157924331496","1.10770915885312","7.81203708047544","8.85753038478403","9.57108991565961","10.3311515522584","12.0859819234095","2650.55488370223","0.999687708684148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8953.88819982487","8.23724765393272"
"me","hurdle","TRUE","-2","3.44368571694329","0.00420260622588955","0.223747665016191","2.98838219662513","3.29192291558754","3.44329428192758","3.59211189337094","3.88506302381634","2834.52064500056","1.00020503745292","0.256131936836845","0.000778613958028908","0.0421038542460055","0.173316481196778","0.227494193471365","0.255936979998655","0.284443296948793","0.341293330399997","2924.1479156275","0.999755271400967","5.63431219388942","0.00137023426157854","0.0916945640775193","5.45830941077439","5.57121657527146","5.63418520785483","5.69631675540938","5.81487711703342","4478.13864491684","0.999735101043645","9.67439631471773","0.0172434007205276","1.13130908316752","7.74871369758373","8.88530225213857","9.5755975450625","10.3528142233945","12.2054088915731","4304.44047315079","0.999157195098495","0.832525939038498","0.0052084755735863","0.228461671685531","0.383140515051574","0.677329194762694","0.830177157596507","0.988160250772867","1.28006542140765","1924.00163596837","1.00136474777232","-0.363735134250981","0.00090766771985794","0.0417824212303852","-0.446562290118896","-0.391935255319838","-0.362476147789768","-0.334538543768792","-0.284902601224364","2119.01204385433","1.00101581067855","1.8045434977581","0.00361477090834021","0.171011631987019","1.47455098843809","1.68766462818955","1.80136502772743","1.91941633426227","2.14045513700226","2238.15286951247","1.00114702712233","-0.318522967613845","0.000571657883393549","0.0280543349112018","-0.373720945637886","-0.337242828761309","-0.318472214707891","-0.299110929949464","-0.264330981845496","2408.39413322352","1.0005780337429","8960.73286407862","8.24354449317261"
"mean","gen","FALSE",NA,"2.17810548208573","0.00150092344788165","0.0864184983020913","2.01474184112343","2.11787275002917","2.17803194112719","2.23649448532619","2.34914904948148","3315.09780519203","1.00002477044851","0.0226736260423344","0.000309491572199477","0.0181645982439259","0.00065681068549541","0.00855646426562283","0.0183871263594371","0.0324643711685961","0.0680166052455275","3444.72010004927","1.0007813328355","3.80992990095747","0.00183357614087979","0.112637663890306","3.58872800979797","3.73444329968763","3.80919376608501","3.88376798805252","4.03238898261772","3773.71737073772","0.999455445300173","3.70335059117489","0.00660304500820158","0.414245016539246","2.98111244170353","3.4045510436725","3.67684467132106","3.97052747017122","4.6022112483382","3935.73700174512","0.999542031619431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4446.00987219888","6.92524902211663"
"mean","hurdle","FALSE","1","5.23108584322842","0.00794583354727428","0.474412635917558","4.34492186179024","4.907630477009","5.21510673401381","5.53599165896067","6.21022535331511","3564.78687140499","1.00040062749459","0.0571111026184487","0.000793388205335602","0.0494380407089789","0.00172914691821597","0.0199591392286574","0.0446094652946699","0.0799590545965343","0.177458278432978","3882.85365103393","1.00041675977942","3.80582134405896","0.00165720788921035","0.110580504339829","3.5930065244965","3.73122095554081","3.80536159738011","3.87846676811273","4.02602505288848","4452.49200688669","0.999481677918842","3.69898970965838","0.00634902218430461","0.421898002042582","2.97139769874949","3.40510944737754","3.6599087049603","3.95208524797648","4.63700538497696","4415.71716601038","0.999983747827446","1.6306044637856","0.00341181091559134","0.168037215684606","1.31012821287707","1.51730743191147","1.63163231605904","1.74430031256542","1.95583152092044","2425.72210028448","1.00138766189817","-0.105432072233251","0.000665824015557129","0.0326810421785805","-0.168403670784104","-0.127384393511685","-0.106043422644198","-0.0831833742245683","-0.040446225941032","2409.20016176675","1.00072001197846","-1.73061447951203","0.023276437422661","1.15192520364592","-4.17348818093392","-2.43735441197597","-1.66751589890209","-0.966737482532411","0.330421980363564","2449.1508816656","1.00204734797927","-1.56669493703308","0.0142719833423273","0.728920848378094","-3.09483816753525","-2.01950423147422","-1.51168805845626","-1.03274176441853","-0.34921438083291","2608.50746339988","1.00154002631954","4018.74689960976","6.25973037322392"
"mhm","gen","FALSE",NA,"2.06299867007611","0.0232910725348902","1.52114705312751","0.312387628155581","0.973845193349494","1.67156788668769","2.74904357643538","6.07642958999949","4265.43595095172","0.99966223254359","0.500401646734153","0.0042506364542503","0.287141329083764","0.0285335926312612","0.251883957947053","0.502265759546328","0.754381763082403","0.969843885851409","4563.34693128428","0.999445054500994","0.0123384923235113","5.56280513114131e-05","0.00358349868761671","0.00624532382860717","0.00985935110156775","0.0120250280307967","0.0145007238726191","0.0205247966481318","4149.79656014675","1.00034745876647","8.09737430801594","0.0906335412382516","5.88454153488629","0.903743832621712","3.90601698650426","6.74545360940184","10.7851984072318","22.7572178596303","4215.48323992891","0.99990256597656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.4328617803983","0.0684874863715446"
