word,model_type,back,hurdle_place,theta_mean,theta_se_mean,theta_sd,theta_2.5%,theta_25%,theta_50%,theta_75%,theta_97.5%,theta_n_eff,theta_Rhat,lambda_mean,lambda_se_mean,lambda_sd,lambda_2.5%,lambda_25%,lambda_50%,lambda_75%,lambda_97.5%,lambda_n_eff,lambda_Rhat,mu_mean,mu_se_mean,mu_sd,mu_2.5%,mu_25%,mu_50%,mu_75%,mu_97.5%,mu_n_eff,mu_Rhat,phi_mean,phi_se_mean,phi_sd,phi_2.5%,phi_25%,phi_50%,phi_75%,phi_97.5%,phi_n_eff,phi_Rhat,psi_intercept_mean,psi_intercept_se_mean,psi_intercept_sd,psi_intercept_2.5%,psi_intercept_25%,psi_intercept_50%,psi_intercept_75%,psi_intercept_97.5%,psi_intercept_n_eff,psi_intercept_Rhat,psi_slope_mean,psi_slope_se_mean,psi_slope_sd,psi_slope_2.5%,psi_slope_25%,psi_slope_50%,psi_slope_75%,psi_slope_97.5%,psi_slope_n_eff,psi_slope_Rhat,alpha_intercept_mean,alpha_intercept_se_mean,alpha_intercept_sd,alpha_intercept_2.5%,alpha_intercept_25%,alpha_intercept_50%,alpha_intercept_75%,alpha_intercept_97.5%,alpha_intercept_n_eff,alpha_intercept_Rhat,alpha_slope_mean,alpha_slope_se_mean,alpha_slope_sd,alpha_slope_2.5%,alpha_slope_25%,alpha_slope_50%,alpha_slope_75%,alpha_slope_97.5%,alpha_slope_n_eff,alpha_slope_Rhat,waic,waic_scaled,keep
but,gen,FALSE,NA,0.21216612,0.000346996,0.017914709,0.178596751,0.199975392,0.211485134,0.224152552,0.248967364,2665.455402,1.000009531,0.947994534,0.000764171,0.038992859,0.858338644,0.924401042,0.955307414,0.97977859,0.997311767,2603.688367,1.000318493,3.791673247,0.001359187,0.082822425,3.631571326,3.735867955,3.790230514,3.84713631,3.958537426,3713.10498,0.999630912,1.470662092,0.00127057,0.075313592,1.327688544,1.419342034,1.468616247,1.520926588,1.62583215,3513.575659,0.99924331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10892.86761,5.763422018,gen
by,gen,TRUE,NA,2.86773305,0.003644415,0.163684624,2.573688626,2.757155157,2.862974018,2.967100389,3.187765856,2017.251865,1.001172907,0.364775922,0.002025087,0.080323247,0.234202199,0.312662606,0.358398289,0.406682004,0.53699061,1573.240225,1.000978438,5.547151207,0.002542963,0.171705281,5.218181711,5.427823551,5.547222026,5.662891598,5.888067539,4559.185602,0.999209344,9.938317249,0.034688432,2.195106189,6.613565418,8.344512001,9.634862887,11.2329363,14.8168073,4004.439375,1.000536177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2609.595803,8.284431121,gen
ca,gen,FALSE,NA,1.727045717,0.001742151,0.099364093,1.533595797,1.660274187,1.726739229,1.791865337,1.924375187,3253.023773,0.999962584,0.054643296,0.000642122,0.035086984,0.003286864,0.027356262,0.050224297,0.075894581,0.13256077,2985.772652,1.000494503,5.656937857,0.002748241,0.162628226,5.343943556,5.548795782,5.654066205,5.765160716,5.979587738,3501.726518,1.000409948,23.49554829,0.115198889,6.679009854,13.51142174,18.67510048,22.36656468,27.24517821,39.26312778,3361.45722,1.000495687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2032.927927,7.585551966,hur
ca,hurdle,FALSE,1,0.547103292,0.005088001,0.28443609,0.106677876,0.336797048,0.509612847,0.728108865,1.181199704,3125.180307,0.999886201,0.261404599,0.000949606,0.05317552,0.149934371,0.227133143,0.264757824,0.298205089,0.35907469,3135.714927,1.000633873,5.652426992,0.002578239,0.165138554,5.33351535,5.541732799,5.65187021,5.764955718,5.98068967,4102.520248,1.001638087,23.6470653,0.117631457,6.751354833,13.73874848,18.86598654,22.57323806,27.33965825,39.99101519,3294.085853,1.000621753,2.189853238,0.008486785,0.379701594,1.445864862,1.937315128,2.183772267,2.437741489,2.946990616,2001.697471,1.000588254,-0.34976727,0.00143404,0.062898399,-0.476337043,-0.392496249,-0.3491638,-0.307502395,-0.227760075,1923.785897,1.000881704,1.133079745,0.015360704,0.667572708,-0.162502983,0.690532263,1.129042897,1.592336183,2.424037468,1888.751767,1.00090011,-0.560329606,0.003089684,0.138946535,-0.841641315,-0.649170867,-0.556666504,-0.465947232,-0.30292279,2022.400917,1.000841239,1941.883519,7.245834025,hur
call,gen,FALSE,NA,4.196765356,0.0154161,0.552208281,3.36281354,3.804424864,4.096980973,4.495552604,5.507565532,1283.089088,1.00447624,0.636330934,0.004756063,0.179129027,0.321962969,0.498446017,0.624346127,0.770017562,0.972618363,1418.52439,1.003548391,5.462427575,0.003662567,0.225939493,5.016579875,5.310228522,5.460600435,5.612510079,5.912837799,3805.513397,0.999344117,14.7201202,0.084763069,4.712087193,7.87294829,11.35111425,13.91881459,17.27998741,26.1027428,3090.389986,1.00104638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280.205545,8.154175448,gen
came,gen,FALSE,NA,2.744805641,0.003366678,0.206660877,2.35948731,2.603249538,2.738456877,2.877761388,3.162830755,3768.020582,0.999630235,0.359526371,0.001765969,0.100495494,0.19714008,0.289121224,0.347994133,0.415458164,0.589546147,3238.372528,1.000676866,5.753344797,0.003354495,0.217346707,5.349381073,5.606766447,5.743919747,5.891719045,6.18845033,4198.089836,0.999812445,16.84461236,0.095147393,5.308168228,9.220953805,13.10560461,15.9489826,19.43195461,29.80832706,3112.401146,1.000757808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1399.324608,8.231321224,gen
can,gen,FALSE,NA,2.12480754,0.001279256,0.082715415,1.966205118,2.070673068,2.122091268,2.179432431,2.291379304,4180.78658,0.999881342,0.435485624,0.000836586,0.048949908,0.350062523,0.401982048,0.431086729,0.466207086,0.541775727,3423.59582,1.000859207,5.715306191,0.001495471,0.101266439,5.523705517,5.645756174,5.714694737,5.783623005,5.91241641,4585.378862,1.001694858,20.18735042,0.062832409,4.077078509,13.76577981,17.29047743,19.62685381,22.50328473,29.83429802,4210.471516,1.000449101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6042.979835,8.210570429,hur
can,hurdle,FALSE,1,1.98889095,0.004235161,0.239570385,1.521635076,1.826655905,1.990606218,2.148479307,2.461408562,3199.826026,0.999208883,0.330531581,0.000648408,0.036876526,0.257647222,0.305754725,0.331035163,0.355723392,0.400351939,3234.468861,0.999551309,5.709258433,0.001523696,0.100378746,5.513429038,5.643486251,5.708074574,5.774310037,5.906320308,4339.96892,1.000795863,20.3122232,0.07286895,4.455589659,13.67619669,17.19085545,19.63246367,22.69001289,30.70873322,3738.740741,0.99949412,1.140664915,0.004410496,0.210940958,0.727596981,0.994976658,1.137064152,1.286413195,1.551046257,2287.425951,1.004287351,-0.285102113,0.000748346,0.036529983,-0.357035422,-0.309162232,-0.284304913,-0.260869597,-0.216171776,2382.83437,1.003284445,0.438190639,0.006718597,0.317673108,-0.192850221,0.22134288,0.440093041,0.650004217,1.072219052,2235.649222,1.00171203,-0.413684523,0.001291556,0.063426178,-0.540913282,-0.455679993,-0.412931771,-0.370311972,-0.293019724,2411.629645,1.001471576,6064.846981,8.240281224,hur
cause,gen,FALSE,NA,0.113189893,0.0003812,0.021107489,0.076814477,0.098215591,0.111668113,0.126306861,0.158144328,3065.970056,1.000160355,0.796836901,0.00262474,0.137158997,0.511138745,0.699275772,0.814309282,0.912483417,0.991554874,2730.711867,1.000328561,5.028792418,0.002317396,0.131545816,4.772535928,4.939828584,5.02948732,5.117031381,5.280822611,3222.206958,1.000269208,5.624714443,0.015095153,0.801474111,4.243104019,5.081227334,5.548334059,6.089068178,7.421704853,2819.057802,1.001102326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3158.61605,5.69120009,gen
come,gen,TRUE,NA,2.793763316,0.002321975,0.151878084,2.504933181,2.688058818,2.789991732,2.896979246,3.099288386,4278.337056,0.999646774,0.3618039,0.001135566,0.070270661,0.237488497,0.31199027,0.358100359,0.405519898,0.512905375,3829.337247,1.000414463,5.71539163,0.002760042,0.183079378,5.365312357,5.590147972,5.713772623,5.837263073,6.086930483,4399.948837,1.000384822,6.775099847,0.019897073,1.262948905,4.742969969,5.88955768,6.637392981,7.462790109,9.647303996,4028.962157,0.999778955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2756.864111,8.482658802,gen
come,hurdle,TRUE,-2,3.778602509,0.006209794,0.333071773,3.12706069,3.553109871,3.784405171,4.004633174,4.416113419,2876.87664,1.000416819,0.121875642,0.00120913,0.061748514,0.017148227,0.077436791,0.118850302,0.162682209,0.25495931,2607.994873,0.999879676,5.713577479,0.002726511,0.181071598,5.371061717,5.589548907,5.71190259,5.829242385,6.08288301,4410.482024,0.999533772,6.783933198,0.018752752,1.214520953,4.84573726,5.949093792,6.638863894,7.439535733,9.669656352,4194.498024,1.000151171,1.247579124,0.00575075,0.296772119,0.698105627,1.039669341,1.237816649,1.443192112,1.859589028,2663.160156,1.000033921,-0.356108552,0.001052813,0.053776553,-0.464861824,-0.391644184,-0.354737466,-0.31813546,-0.255279234,2609.056746,1.000421137,0.181019124,0.008399772,0.433900167,-0.683279437,-0.104595134,0.177036165,0.471030369,1.040128834,2668.361402,1.00004787,-0.45627718,0.001779989,0.09537891,-0.648904775,-0.516625366,-0.453019489,-0.390654753,-0.279304721,2871.243044,1.00054434,2792.097491,8.591069202,gen
could,gen,FALSE,NA,1.918908353,0.001361913,0.08886902,1.745875875,1.859371073,1.918072353,1.976518808,2.098695975,4257.96712,1.000194159,0.335665341,0.00072872,0.047075765,0.247671925,0.303413261,0.333447094,0.366174675,0.433461866,4173.2413,1.000035816,5.773831932,0.002102766,0.135876729,5.511355989,5.682368414,5.771348301,5.865490645,6.042636073,4175.498361,1.000544581,12.97541502,0.04667774,2.675130775,8.813130151,11.07918739,12.5899866,14.51218569,19.20465288,3284.508558,1.000199797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3867.667815,8.229080457,hur
could,hurdle,FALSE,1,1.353300936,0.005423084,0.299027171,0.782548232,1.14888159,1.353156571,1.558116301,1.922103069,3040.38555,0.999572553,0.335901258,0.000811843,0.045092066,0.246052185,0.305581235,0.336868156,0.366527649,0.422930246,3085.004182,0.999403559,5.773977609,0.00205364,0.133122117,5.524097308,5.681491363,5.770122988,5.86534654,6.030408458,4201.960405,1.002323877,13.01851868,0.045708322,2.656252804,8.939113989,11.14548875,12.65170529,14.48009961,19.27189196,3377.133695,0.999713307,1.080708305,0.005580967,0.254162098,0.594694511,0.906896768,1.072287534,1.253201261,1.59027043,2073.970691,1.002365373,-0.238242503,0.000889232,0.041574291,-0.322110478,-0.265630527,-0.237192255,-0.208512453,-0.161092028,2185.84614,1.002294254,1.024449486,0.008801357,0.394051524,0.252263671,0.764316399,1.024656209,1.287960838,1.794001134,2004.502955,1.002663441,-0.511577246,0.001802994,0.083416809,-0.678416947,-0.566836039,-0.510143971,-0.455169879,-0.352721843,2140.517065,1.003124436,3852.790906,8.19742746,hur
day,gen,TRUE,NA,1.082698407,0.00274567,0.137959313,0.827628108,0.985197361,1.077456582,1.174938684,1.363756056,2524.674773,1.001128926,0.894691528,0.001624947,0.075833314,0.722476891,0.845564207,0.908798329,0.956421764,0.996467222,2177.919284,1.001231083,6.207465102,0.004436861,0.247281122,5.731791701,6.039622301,6.210623495,6.37302501,6.698354083,3106.206763,0.999506582,8.531752069,0.041369651,2.161706131,5.297477802,7.032234069,8.180453747,9.66618945,13.57179539,2730.420876,1.000071462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1528.870212,8.219732321,gen
