word,model_type,back,hurdle_place,theta_mean,theta_se_mean,theta_sd,theta_2.5%,theta_25%,theta_50%,theta_75%,theta_97.5%,theta_n_eff,theta_Rhat,lambda_mean,lambda_se_mean,lambda_sd,lambda_2.5%,lambda_25%,lambda_50%,lambda_75%,lambda_97.5%,lambda_n_eff,lambda_Rhat,mu_mean,mu_se_mean,mu_sd,mu_2.5%,mu_25%,mu_50%,mu_75%,mu_97.5%,mu_n_eff,mu_Rhat,phi_mean,phi_se_mean,phi_sd,phi_2.5%,phi_25%,phi_50%,phi_75%,phi_97.5%,phi_n_eff,phi_Rhat,psi_intercept_mean,psi_intercept_se_mean,psi_intercept_sd,psi_intercept_2.5%,psi_intercept_25%,psi_intercept_50%,psi_intercept_75%,psi_intercept_97.5%,psi_intercept_n_eff,psi_intercept_Rhat,psi_slope_mean,psi_slope_se_mean,psi_slope_sd,psi_slope_2.5%,psi_slope_25%,psi_slope_50%,psi_slope_75%,psi_slope_97.5%,psi_slope_n_eff,psi_slope_Rhat,alpha_intercept_mean,alpha_intercept_se_mean,alpha_intercept_sd,alpha_intercept_2.5%,alpha_intercept_25%,alpha_intercept_50%,alpha_intercept_75%,alpha_intercept_97.5%,alpha_intercept_n_eff,alpha_intercept_Rhat,alpha_slope_mean,alpha_slope_se_mean,alpha_slope_sd,alpha_slope_2.5%,alpha_slope_25%,alpha_slope_50%,alpha_slope_75%,alpha_slope_97.5%,alpha_slope_n_eff,alpha_slope_Rhat,waic,waic_scaled,keep
everything,hurdle,TRUE,-1,3.361800465,0.0070507,0.405953166,2.595922362,3.087511707,3.362590405,3.635022154,4.190744475,3315.029409,1.000174614,0.1483636,0.001783525,0.104035881,0.00706444,0.068589016,0.128177028,0.206721958,0.396382698,3402.576841,1.000035774,4.446874109,0.004004219,0.235137802,4.00051074,4.286432509,4.440334094,4.605440055,4.910037911,3448.333775,0.99959779,4.33035692,0.015005535,0.910918993,2.863740472,3.671021107,4.230064606,4.862830534,6.327936898,3685.161737,1.000368568,0.741305872,0.006117489,0.295793149,0.164994843,0.541033122,0.742650695,0.931266957,1.343674704,2337.921232,1.003387235,-0.126699207,0.001179763,0.055964546,-0.237927468,-0.163169627,-0.126938944,-0.088357284,-0.020092456,2250.279274,1.00278824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1251.720274,7.540483576,gen
first,gen,FALSE,NA,3.358882678,0.007959333,0.349606238,2.706514112,3.11452554,3.345299161,3.595537921,4.052909266,1929.323209,1.000083804,0.86957441,0.002069083,0.090983015,0.669518605,0.807868956,0.885754031,0.944884453,0.995061029,1933.591732,0.999949646,5.763971833,0.003861977,0.217342136,5.342456307,5.620287958,5.757843985,5.909941702,6.198714464,3167.149336,1.000136953,6.756448219,0.02847946,1.507206081,4.466949848,5.684197044,6.565309884,7.5849093,10.37192272,2800.798008,1.000479303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934.642911,8.675528747,gen
five,gen,TRUE,NA,2.073401067,0.002638265,0.173136599,1.742313983,1.954233952,2.070588722,2.184322787,2.425072295,4306.664273,0.999698545,0.31255859,0.00161485,0.095169368,0.152088162,0.246278168,0.304975325,0.368674325,0.525605075,3473.203539,1.000301299,5.234256228,0.003901248,0.267154303,4.738896993,5.045224533,5.229399223,5.407184767,5.77135361,4689.400517,0.999907467,4.60906978,0.017765365,1.072986309,2.982812013,3.843444502,4.449967923,5.203779781,7.096486344,3647.876164,1.000326135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292.131632,8.230137785,gen
for,gen,TRUE,NA,2.519000458,0.001017435,0.063827401,2.396870607,2.475119881,2.518387892,2.560441965,2.643096286,3935.511042,1.000381517,0.29183224,0.000412736,0.026247303,0.242590979,0.273317685,0.290587478,0.309422149,0.34406492,4044.127394,0.999523072,6.107696151,0.001268927,0.082984127,5.947182191,6.05180514,6.106023921,6.162503304,6.275629127,4276.782095,0.99990261,8.786596521,0.014514241,0.849347429,7.274460639,8.202121308,8.727233198,9.313481635,10.64234197,3424.381155,0.999343495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11990.91595,8.53445975,hur
for,hurdle,TRUE,-2,2.79048455,0.002620302,0.159721215,2.483781702,2.681416264,2.789115435,2.8985213,3.105387612,3715.545235,0.999861154,0.210611037,0.000470444,0.027942554,0.157066859,0.19191503,0.209831449,0.22953078,0.265416496,3527.898888,0.999300372,6.108569508,0.001236587,0.086950649,5.942395155,6.048799778,6.107343865,6.167550163,6.278557391,4944.206008,1.000415299,8.778940084,0.011900583,0.840972202,7.312634827,8.183870432,8.729275675,9.306570754,10.56200957,4993.750253,1.000263122,0.23663925,0.002390244,0.133962215,-0.021606263,0.141887622,0.235444073,0.324906076,0.499935678,3141.088372,0.999891832,-0.170488605,0.00038995,0.021319873,-0.212348706,-0.184753791,-0.170198233,-0.155833374,-0.129721752,2989.179711,1.000013546,-1.091022005,0.003958356,0.231965623,-1.555856398,-1.246940071,-1.088102913,-0.933343474,-0.63934901,3434.136636,1.000766032,-0.214141426,0.000691701,0.040457585,-0.296318792,-0.241408867,-0.213007183,-0.186674923,-0.135871778,3421.082906,1.000504917,12171.34053,8.662875824,hur
four,gen,TRUE,NA,2.134896369,0.004726483,0.217387951,1.780541474,1.986051381,2.114203576,2.258670551,2.616037681,2115.411141,1.001114872,0.484643702,0.003209615,0.140216141,0.267796042,0.388905212,0.463155019,0.556624848,0.832999981,1908.491238,1.000138829,5.229235807,0.00461943,0.279066142,4.706360093,5.037738856,5.220243142,5.403946708,5.805984752,3649.534716,1.001283592,4.121636045,0.015479217,0.92636967,2.653437464,3.457396333,3.991908257,4.672289838,6.22910129,3581.547289,0.999420008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1316.978066,8.335304213,gen
from,gen,TRUE,NA,2.455958381,0.001572575,0.09986693,2.265222753,2.387652349,2.454701018,2.520865334,2.66033421,4032.930076,1.00008249,0.296395667,0.000712187,0.043910581,0.21636168,0.266600407,0.294532066,0.323759292,0.388339101,3801.453665,0.999961434,5.454940688,0.00190085,0.129271381,5.209604929,5.366666938,5.452917136,5.541248016,5.711931024,4624.970958,0.999604512,7.077121029,0.015845836,0.970047047,5.430836218,6.385706389,6.996084788,7.677425251,9.185599507,3747.617477,1.000251389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4930.273425,8.258414448,gen
get,gen,TRUE,NA,2.965919355,0.00142881,0.094664919,2.788848208,2.899782091,2.966355528,3.030289055,3.149381263,4389.645097,0.999347915,0.379543157,0.000782768,0.043189933,0.299720545,0.349117905,0.377501316,0.407891139,0.469475504,3044.381821,1.001051957,6.320024387,0.00145306,0.092638747,6.139728537,6.260167852,6.318612779,6.381578526,6.502179684,4064.604439,0.999700797,23.98316661,0.077569975,4.678382163,16.63751531,20.67951778,23.34180289,26.74089595,34.5984233,3637.50908,1.00057671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7573.782458,8.500317013,hur
get,hurdle,TRUE,0,3.414480642,0.00260248,0.131923967,3.177446427,3.327836887,3.407416643,3.492822985,3.694549623,2569.641745,0.999490693,0.449891413,0.001250689,0.062030865,0.345095544,0.408510721,0.444747354,0.486052644,0.581785605,2459.897228,0.99930087,6.311132232,0.00148893,0.098838978,6.11717109,6.243542728,6.313113866,6.375056254,6.510370667,4406.644128,0.999846551,16.36523542,0.032350429,2.169781465,12.63655479,14.80961769,16.19263637,17.6872944,21.14122613,4498.543315,1.00013118,0.27002986,0.006729675,0.35064479,-0.38966112,0.032295909,0.267519729,0.509972419,0.950796351,2714.854738,1.001026524,-0.601908014,0.001545335,0.082138072,-0.764301306,-0.656967598,-0.599402711,-0.545174879,-0.451956125,2825.164364,1.001131838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7498.922651,8.416299272,hur
getting,gen,TRUE,NA,2.757312355,0.003896027,0.221504853,2.339290157,2.609083135,2.751133971,2.904333661,3.215379007,3232.381354,0.999433032,0.301523643,0.002255282,0.114297743,0.116067058,0.221501764,0.291836462,0.365078956,0.56279595,2568.465032,1.00113323,6.072172004,0.003979411,0.238880038,5.603148199,5.909562745,6.071426591,6.228199741,6.548921145,3603.480627,0.999485667,22.35830921,0.101356072,6.672059775,12.31740534,17.5259183,21.38343238,26.02656082,38.30238103,4333.31554,0.999986463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137.770083,8.244710743,gen
go,gen,TRUE,NA,2.677710097,0.006250024,0.228251926,2.335429728,2.504127949,2.638230197,2.81526648,3.199577778,1333.722489,1.002976821,0.767900279,0.003036111,0.111603772,0.57859117,0.681239352,0.757598962,0.849138481,0.981064589,1351.209145,1.002999419,5.978686335,0.002118095,0.10710899,5.772986111,5.905748499,5.975635321,6.047477922,6.196601381,2557.177648,1.00073496,9.086663314,0.023291864,1.111098754,7.175925707,8.300462039,8.992581515,9.785245522,11.5386298,2275.604685,1.001398774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7277.550556,8.663750662,gen
god,gen,TRUE,NA,1.796854489,0.003442774,0.174447966,1.477031066,1.67609316,1.787404212,1.912757886,2.150753618,2567.526383,1.001202377,0.939730396,0.000879579,0.044902681,0.834077819,0.913270555,0.948304206,0.975508904,0.998403202,2606.121746,1.001231118,4.150790286,0.003369053,0.19125244,3.783620498,4.017996679,4.148226437,4.280911588,4.528490623,3222.539375,0.999943249,2.10601419,0.004617373,0.274798417,1.621749932,1.909381038,2.084577843,2.282201749,2.683553361,3541.917998,1.000174749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2542.420225,7.727721047,hur
god,hurdle,TRUE,-1,5.725050095,0.015648192,0.65303249,4.710698598,5.293031591,5.629612267,6.037957906,7.343328466,1741.571333,1.001516314,0.47037877,0.003868266,0.171110777,0.198573996,0.350613317,0.443564668,0.564474712,0.878890971,1956.68988,1.001918458,4.091757269,0.00356306,0.192259093,3.736775715,3.959194203,4.084993885,4.217727195,4.49021296,2911.571989,0.999893517,2.021078925,0.004271856,0.252394184,1.577435211,1.844822425,2.000072637,2.178010114,2.572086953,3490.804265,0.999322219,2.029932104,0.005732739,0.239287978,1.55657796,1.870443018,2.032099006,2.188553062,2.504859586,1742.278093,1.001917121,-0.41261958,0.001113621,0.047629513,-0.509104613,-0.444078703,-0.412102034,-0.380559868,-0.319096915,1829.27004,1.001820963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2442.10832,7.422821642,hur
goes,gen,FALSE,NA,2.945230148,0.005049979,0.241379899,2.518148633,2.789844226,2.931342499,3.082133053,3.428269605,2284.667914,1.001416586,0.298401623,0.002363946,0.114001735,0.115647237,0.225160228,0.283965307,0.357356662,0.546530705,2325.669311,1.000363223,4.746092516,0.00317659,0.197972186,4.375244408,4.612253987,4.739513043,4.878631737,5.142423405,3884.06183,0.999750462,8.977430909,0.045284208,2.703057484,5.249281211,7.109755791,8.473337112,10.27930342,15.71591732,3563.009701,1.000338296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1435.099965,7.799456334,gen
going,gen,TRUE,NA,2.461528945,0.006281401,0.216675082,2.127380015,2.309923564,2.430145421,2.572740725,2.986291963,1189.88492,1.000913317,0.663103163,0.003572302,0.127092159,0.461697836,0.567817679,0.640412994,0.745223211,0.94474918,1265.73007,1.000976441,6.40895131,0.003438048,0.166869727,6.08962537,6.295638252,6.406659735,6.522372733,6.736915502,2355.760919,1.000504429,12.95239973,0.055978079,2.820809101,8.565999864,10.97728337,12.54764511,14.39946865,19.68732844,2539.284814,0.999552227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3182.853958,8.768192721,gen
gon,gen,FALSE,NA,3.297288688,0.001422362,0.077419971,3.144269747,3.246956264,3.29544913,3.348503832,3.452189654,2962.687584,0.99949745,0.014874832,0.000238602,0.012385011,0.000317073,0.005409132,0.011780009,0.021204349,0.04635482,2694.302591,1.001186492,7.57986297,0.001707079,0.102610321,7.382071834,7.509401497,7.581321949,7.649262494,7.778693371,3613.056551,0.999976956,62.16715535,0.185519135,11.05502581,43.55535095,54.0929032,61.26130287,69.21899753,86.41015918,3550.929904,1.000357104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6589.893218,8.206591803,gen
good,gen,TRUE,NA,1.512932727,0.003584619,0.154888139,1.224521848,1.398984481,1.509067983,1.621187505,1.823783802,1867.026003,1.00265567,0.839786669,0.002345617,0.103289336,0.621832296,0.765607169,0.850634766,0.926038843,0.992937236,1939.084712,1.003155627,4.151770953,0.002206733,0.123369981,3.909649305,4.074219633,4.150440617,4.232587845,4.399932396,3125.49869,0.999972698,3.849443089,0.008648193,0.468731878,3.038198346,3.516243604,3.812420725,4.132891338,4.918701954,2937.637986,1.001248131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.611481,7.451328937,hur
good,hurdle,TRUE,-1,1.483851355,0.002701503,0.165214666,1.165356398,1.369627612,1.481918492,1.595874182,1.803792586,3740.126475,1.00033766,0.344112999,0.000771162,0.046013787,0.257912365,0.312774014,0.342948432,0.375463605,0.435261981,3560.286021,1.001741513,4.125114214,0.002112909,0.126110927,3.883722443,4.037846284,4.121986656,4.209072423,4.380900841,3562.408283,0.99951384,3.621202768,0.006966075,0.428043608,2.868383104,3.326954593,3.59309236,3.875387414,4.5429827,3775.720007,1.000046932,2.013065595,0.004101733,0.217068465,1.599342694,1.862197228,2.010088271,2.155849894,2.456088108,2800.648695,1.000347647,-0.592500578,0.001044713,0.05552931,-0.705703557,-0.629603934,-0.591445919,-0.553809926,-0.486572543,2825.208696,1.000761206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4279.082939,7.467858532,hur
got,gen,FALSE,NA,2.466778794,0.001458582,0.083781214,2.304704874,2.408680276,2.466708349,2.522515406,2.630444876,3299.374022,1.000169977,0.168646024,0.000565886,0.032601337,0.106799767,0.146769374,0.167844282,0.190244512,0.23329963,3319.042498,0.999829271,5.660078698,0.001525321,0.096582772,5.468836725,5.593944558,5.660203282,5.724703146,5.844802398,4009.376041,0.999362747,26.97975554,0.104818091,6.0872861,17.63478417,22.48935857,26.13473581,30.4192629,41.37026775,3372.678423,0.999521036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6060.86582,7.953892152,gen
guess,gen,FALSE,NA,1.863087832,0.002308705,0.15436931,1.580569473,1.758719095,1.855071031,1.965591673,2.172878986,4470.798398,1.00003104,0.31488936,0.001332587,0.076255137,0.184962435,0.260434246,0.308035466,0.360545259,0.481044123,3274.51805,1.00059586,5.162625903,0.004532957,0.284062757,4.626845266,4.970941525,5.153114411,5.352067465,5.749020643,3927.040807,1.000193298,3.842455894,0.013328421,0.798787336,2.574718914,3.284074833,3.738273738,4.299600012,5.652950492,3591.74059,0.999668258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1264.272091,8.104308274,hur
guess,hurdle,FALSE,1,2.407654383,0.012979466,0.74510954,0.989856968,1.889582166,2.408566729,2.902253278,3.913970542,3295.539862,0.999421052,0.405581408,0.00170143,0.101344999,0.211575822,0.338443214,0.403131047,0.469279937,0.606480448,3547.941329,0.999636953,5.156603808,0.004596433,0.286418755,4.630161508,4.961118426,5.149423436,5.344623346,5.739678219,3882.943464,0.999223266,3.851174435,0.013334678,0.792749921,2.576537037,3.307567893,3.753843256,4.320168183,5.631452216,3534.332105,0.999983022,1.610680982,0.007407085,0.361026845,0.918720326,1.365182076,1.597211097,1.848367806,2.351761013,2375.659954,0.999978085,-0.165627474,0.001107717,0.054819899,-0.276988649,-0.201404319,-0.165682124,-0.129018502,-0.060128034,2449.170949,1.000287804,-0.03346343,0.011575809,0.594965769,-1.232893654,-0.426716005,-0.02184524,0.372890556,1.090068786,2641.686313,1.000467863,-0.294264942,0.002290484,0.119277514,-0.54065111,-0.370912326,-0.289597304,-0.21199824,-0.07352176,2711.83073,1.000398997,1226.321213,7.861033418,hur
guy,gen,TRUE,NA,1.92053609,0.003895849,0.20825402,1.529133678,1.775209786,1.914071329,2.054704004,2.347080773,2857.475704,1.000244368,0.906178174,0.001385428,0.068979744,0.741873122,0.863372236,0.921146494,0.961900679,0.996021186,2478.991981,0.999928943,5.79624417,0.003644504,0.215462902,5.380262772,5.656218858,5.793370901,5.93293077,6.233699384,3495.16878,1.001339523,9.409982821,0.040573407,2.331082671,5.856525935,7.748946461,9.065438588,10.75661357,14.70963642,3300.900143,1.0001574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1743.627352,8.505499278,gen
had,gen,FALSE,NA,2.324524908,0.001189024,0.072784182,2.182942654,2.273804429,2.324559949,2.376055309,2.463602012,3747.078886,1.000028657,0.347553233,0.000515647,0.034372625,0.282867225,0.323809513,0.346360255,0.370376694,0.41904893,4443.453496,0.999721247,6.009705945,0.001393839,0.094269622,5.828495828,5.945698638,6.00907309,6.07106746,6.200506527,4574.23478,0.999899519,15.12951293,0.037910403,2.339857443,11.33128875,13.48029509,14.90669954,16.48478569,20.52549713,3809.447581,0.999683019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7845.960323,8.364563244,hur
had,hurdle,FALSE,1,1.962921715,0.003281704,0.198429154,1.568839645,1.831764995,1.965753882,2.093591107,2.353408977,3656.049226,1.000667525,0.324747908,0.000516981,0.03108041,0.264387647,0.30418536,0.324822226,0.345431026,0.385190267,3614.30211,1.001476574,6.008180991,0.001392365,0.095610252,5.82263834,5.94134474,6.007956336,6.072494682,6.196743109,4715.227101,0.999837179,15.15550914,0.037599474,2.399338432,11.29112025,13.47103693,14.94205332,16.53098659,20.51463203,4072.109927,1.000010776,0.939795491,0.003305209,0.178888543,0.597881523,0.817575539,0.936932626,1.060104849,1.286561182,2929.322131,1.000905632,-0.255015694,0.0005433,0.029700546,-0.314102439,-0.274593957,-0.254537192,-0.234503177,-0.199324791,2988.479341,1.00071314,-0.712037882,0.006966278,0.388395288,-1.475408649,-0.968851435,-0.707656958,-0.442838858,0.036281274,3108.467724,0.999779259,-0.354218861,0.001360626,0.076295823,-0.505736475,-0.40390164,-0.353247229,-0.302276649,-0.207358928,3144.301236,1.000285644,7805.865984,8.321818746,hur
has,gen,FALSE,NA,2.155920707,0.001811051,0.116247492,1.935654461,2.076070341,2.155165982,2.231799948,2.384236639,4120.081329,0.999459434,0.384197326,0.001030571,0.062692479,0.276160815,0.340552155,0.379005689,0.421766709,0.518006982,3700.623401,1.00034189,5.88125973,0.002514497,0.162493574,5.570251422,5.767947925,5.879012045,5.987119061,6.210935352,4176.091504,0.999948443,11.56344198,0.044342904,2.508290279,7.640069389,9.781430356,11.18660441,12.95481697,17.5425292,3199.685717,1.000076042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3022.705519,8.396404219,gen
has,hurdle,FALSE,1,2.077521954,0.005274998,0.326870229,1.439681275,1.859000782,2.072285367,2.295949022,2.717745255,3839.777902,1.000221495,0.28546633,0.000899235,0.054985543,0.177466509,0.248967459,0.284926113,0.323969508,0.392954414,3738.960991,0.999649586,5.881040849,0.002291782,0.153700548,5.588165514,5.777820287,5.876779879,5.984511422,6.178242607,4497.843063,0.999668367,11.60357935,0.041222131,2.526872559,7.676874658,9.816631181,11.28705008,13.01102818,17.64389639,3757.558855,0.999399014,0.929988255,0.005697069,0.290678464,0.366791981,0.732577764,0.92976018,1.126594229,1.497539518,2603.291473,1.000771716,-0.262881313,0.000960169,0.049223576,-0.361740496,-0.29532158,-0.263636752,-0.229882489,-0.170112852,2628.155719,1.00058212,0.489613296,0.008335367,0.41454792,-0.34744036,0.222242409,0.4910114,0.7572575,1.311874739,2473.432162,0.99970448,-0.41214752,0.001609966,0.082669063,-0.582328943,-0.467127284,-0.409571231,-0.356428668,-0.249826113,2636.649886,0.999567752,3052.854841,8.480152336,gen
have,gen,FALSE,NA,2.73167524,0.000978488,0.05740599,2.621288034,2.692977593,2.730197197,2.769763151,2.846296448,3441.941819,1.001423838,0.222364046,0.000392574,0.022778392,0.178202871,0.207132416,0.22198347,0.237625467,0.268318584,3366.686567,1.001428667,6.193216295,0.001072212,0.062594599,6.07360546,6.150181164,6.193885802,6.235014717,6.31662471,3408.103011,0.999710866,30.86943482,0.086119073,5.050098988,22.70146104,27.28106365,30.27637134,33.83200612,41.99682961,3438.753884,0.999760309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15771.85326,8.292246722,gen
he,gen,FALSE,NA,0.957030454,0.000500962,0.02796844,0.905399638,0.93814486,0.955761579,0.974750966,1.015797237,3116.927333,0.999839872,0.590725958,0.000644383,0.03605538,0.525756838,0.566202791,0.588910617,0.613169962,0.668016493,3130.779386,0.999513391,5.120000529,0.000822782,0.051394613,5.02117411,5.085438105,5.119756097,5.155311283,5.223561792,3901.802713,1.00014933,7.944980586,0.008686484,0.528436327,6.993112663,7.567700128,7.933561456,8.287762323,9.016638844,3700.814051,1.000239138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23472.49976,7.601198107,gen
he,hurdle,FALSE,1,2.07746295,0.003568008,0.17241034,1.732932517,1.962443895,2.077926763,2.192053352,2.408258456,2334.93554,1.000812991,0.298238169,0.000582277,0.028631658,0.242719309,0.280001635,0.298392638,0.316742467,0.355152075,2417.878019,1.001610605,5.118277605,0.000813472,0.051020856,5.015054623,5.084132658,5.117675895,5.153047119,5.217747388,3933.783078,0.999341492,7.956550953,0.008469997,0.513404499,7.026309609,7.608928528,7.93226515,8.293084559,9.033113614,3674.115626,0.999560575,1.447082907,0.00263515,0.112524824,1.224254289,1.372199313,1.445145424,1.522981644,1.666236431,1823.416657,1.000331743,-0.200620146,0.000393415,0.017180774,-0.234711018,-0.21205823,-0.200410711,-0.189338064,-0.165866453,1907.143635,1.000720351,2.391729386,0.00251015,0.108209945,2.186972654,2.315222264,2.39060374,2.463840909,2.606952273,1858.382379,1.000366616,-0.327047924,0.000389239,0.01744261,-0.361627832,-0.339263969,-0.326823439,-0.314913969,-0.293984987,2008.123022,1.000558187,23526.28236,7.618614753,gen
her,gen,TRUE,NA,1.670746693,0.004560038,0.158601309,1.410103171,1.548430894,1.652513827,1.786764811,1.995949663,1209.69716,1.000717356,0.798991162,0.003200388,0.112303821,0.593013211,0.711004398,0.797767553,0.891136749,0.988348705,1231.356243,1.000139887,5.822689843,0.002230956,0.117849088,5.597072744,5.74375659,5.822315246,5.899981742,6.06016694,2790.424618,1.000272936,11.11849648,0.038907806,1.886523238,8.089123417,9.774334063,10.90465541,12.21249935,15.6042113,2350.990324,1.001721084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5207.412604,8.292058287,gen
her,hurdle,TRUE,-2,2.79436463,0.005528635,0.281356459,2.230093872,2.609114881,2.793009421,2.98558245,3.345286553,2589.869957,1.000671838,0.268064662,0.00104917,0.051769026,0.166793289,0.233071176,0.268146855,0.302506572,0.370574509,2434.717353,1.002246907,5.821047722,0.001688495,0.118680466,5.595817436,5.741358524,5.818685307,5.900260349,6.055886301,4940.361538,1.000442853,11.0632717,0.027319344,1.812054741,8.093977766,9.758169065,10.86631135,12.15008966,15.1022854,4399.487477,1.00064101,1.223517304,0.005278193,0.24297535,0.75055765,1.059807526,1.222456547,1.381242221,1.702569401,2119.111716,1.001898255,-0.282052945,0.000839389,0.039827336,-0.361552181,-0.308561648,-0.280589625,-0.255147861,-0.204457482,2251.313222,1.001249415,0.927000049,0.005049628,0.228758657,0.475543288,0.772011564,0.928125652,1.080612934,1.37554597,2052.278157,1.003225538,-0.206005378,0.000781121,0.035506385,-0.275303066,-0.22998067,-0.20582117,-0.182564001,-0.136105856,2066.221047,1.003079697,5273.093746,8.396646092,gen
