"","word","model_type","back","hurdle_place","theta_mean","theta_se_mean","theta_sd","theta_2.5.","theta_25.","theta_50.","theta_75.","theta_97.5.","theta_n_eff","theta_Rhat","lambda_mean","lambda_se_mean","lambda_sd","lambda_2.5.","lambda_25.","lambda_50.","lambda_75.","lambda_97.5.","lambda_n_eff","lambda_Rhat","mu_mean","mu_se_mean","mu_sd","mu_2.5.","mu_25.","mu_50.","mu_75.","mu_97.5.","mu_n_eff","mu_Rhat","phi_mean","phi_se_mean","phi_sd","phi_2.5.","phi_25.","phi_50.","phi_75.","phi_97.5.","phi_n_eff","phi_Rhat","psi_intercept_mean","psi_intercept_se_mean","psi_intercept_sd","psi_intercept_2.5.","psi_intercept_25.","psi_intercept_50.","psi_intercept_75.","psi_intercept_97.5.","psi_intercept_n_eff","psi_intercept_Rhat","psi_slope_mean","psi_slope_se_mean","psi_slope_sd","psi_slope_2.5.","psi_slope_25.","psi_slope_50.","psi_slope_75.","psi_slope_97.5.","psi_slope_n_eff","psi_slope_Rhat","alpha_mean","alpha_se_mean","alpha_sd","alpha_2.5.","alpha_25.","alpha_50.","alpha_75.","alpha_97.5.","alpha_n_eff","alpha_Rhat","waic","waic_scaled"
"1","'d","gen",FALSE,NA,2.06056924239007,0.00153943623727012,0.0920221267673904,1.87915959236165,1.99874902328808,2.0609293020597,2.12230022228926,2.24209719599994,3573.23123599054,1.00043151277764,0.197429493729699,0.000585445118948162,0.0369854678629197,0.128165624504973,0.171852090851762,0.196435709098383,0.221477641646138,0.271891984984093,3991.07468424082,0.999642284219397,6.09509243159039,0.00215158125348085,0.131948395408682,5.84104156452147,6.00593922900975,6.09225516334689,6.18221953601016,6.35736110738688,3760.9081160365,1.00049663302472,20.8035350372199,0.0840535172667737,5.09386845126148,13.1604462215676,17.2144288730625,20.0546836372525,23.5293703374605,32.8217082135611,3672.68488298039,1.00059220433747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3668.0105945014,8.11506768695
"2","'d","hurdle",FALSE,1,1.2833740067639,0.0056914885593338,0.307184905016357,0.677650274299438,1.08229764506302,1.28157921962542,1.49008914777277,1.88276790415515,2913.05045721405,0.999733276542422,0.332933127612586,0.000869298217798257,0.0483355142551641,0.235124442284406,0.300602277304531,0.334530289531625,0.366360557082076,0.424634594937584,3091.68407222933,0.999655928644135,6.07668324837993,0.00197847048293033,0.140013458060913,5.80379341351858,5.98159858374517,6.07487334538024,6.16782787333787,6.35958440827784,5008.18557775153,0.999287993411469,13.10840705279,0.033274801102804,2.11905636842454,9.5948331663822,11.6044477513958,12.8905526161341,14.3864369346641,17.9081275877717,4055.59036322123,0.999733222994248,1.67952635227374,0.00558841664855089,0.274946896989275,1.1529097788639,1.49106636196874,1.68085845758547,1.86173124382921,2.20999013944562,2420.58361789094,1.00167325747246,-0.278924551551095,0.000852035577095275,0.0433295539614694,-0.36477890752109,-0.3077134464431,-0.278814166683183,-0.249267519180673,-0.195095453226907,2586.14563683602,1.00097231661656,0.00220179508698922,3.3933668242389e-05,0.00231119391055029,4.70321156643467e-05,0.000571328086421961,0.00146565991225932,0.00308390951330952,0.0082769767512347,4638.85876313588,0.999873422842797,3438.48976301976,7.60727823676939
"3","'ll","gen",FALSE,NA,1.93393513841608,0.00129267629234575,0.069154554796416,1.80509819651418,1.88732185993798,1.93229135510654,1.9794235728159,2.07203397126364,2861.94979944456,1.00080634594755,0.0742241628484245,0.000510711044086751,0.0260430073359349,0.0242496865514424,0.0566907808395892,0.0739726916925005,0.0913573216891874,0.127589944584958,2600.34976476326,1.0001781113785,5.82312560358455,0.00178824060405842,0.107776256359681,5.61223898568629,5.75000030504537,5.82234448601214,5.89451201002065,6.03239004602797,3632.40516656254,1.00009668472381,15.5661290601566,0.0470295370689349,2.8307389981474,11.0790095162832,13.5325422336974,15.226070804392,17.2125463915485,22.0293079228734,3622.91586473116,0.999903003785717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5321.97932707522,7.84952703108439
"4","'ll","hurdle",FALSE,1,0.575025577348857,0.00453964518940398,0.24910934604272,0.126230224158774,0.392017160905598,0.56578496833365,0.73853014658422,1.09378787512498,3011.17656827793,1.00111885295527,0.314246196118235,0.000647338457205187,0.0378065763328636,0.236407167956817,0.288783934353467,0.316329200522779,0.340546620752583,0.383730311835056,3410.92275414846,1.00046554083015,5.81137726710033,0.00162170840794559,0.111013550996684,5.59838230959559,5.73716077323905,5.80877744898335,5.88507746142209,6.03294777622511,4686.04497643862,0.999126885064179,11.8832790502387,0.0267189618518308,1.63884500765636,9.07144317527137,10.7344386108266,11.7151922102605,12.8961764267647,15.4800453389736,3762.15431356137,0.999817322043616,1.49105630987845,0.0041896984037426,0.20170754342517,1.10683687201466,1.35487525170276,1.48812045115015,1.62691957019982,1.89102055080605,2317.81493925837,0.999852077899294,-0.218675111758899,0.000666790008646797,0.0317310072569005,-0.280797190610351,-0.23995695661467,-0.218233879068073,-0.19745101933078,-0.158089108689491,2264.58981396734,0.999557134036504,0.00146698999620339,2.05321994951338e-05,0.00146251051016498,3.9624961659514e-05,0.000419253878223954,0.00103029468446857,0.0019985147500535,0.00547455010219989,5073.72636132536,0.999875654779749,4929.02865496972,7.26995376839192
"5","'m","gen",FALSE,NA,1.99355792125633,0.00101399542046713,0.0627809094670334,1.87031712489417,1.95025521782289,1.99393549367694,2.03644542357664,2.11541927965175,3833.39187787126,0.99975033565001,0.169003947395313,0.000397393569787654,0.025097186533246,0.120356912505196,0.152016030766233,0.169308817912759,0.185438731640463,0.219533397418472,3988.48906810617,0.999677011696831,5.81856614751239,0.00156631847884968,0.100309625707226,5.62283579399052,5.75152168536757,5.8173761272861,5.88472184847388,6.01822827907457,4101.33341687546,1.00133162109963,10.1191219611579,0.0223012515890244,1.33260549475295,7.90430615388218,9.17656871062503,9.9919690278633,10.9317913864469,13.0621212887166,3570.62897591917,1.00036200805698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7406.20204424457,8.09420988442029
"6","'m","hurdle",FALSE,1,1.29037135697141,0.00463214045641212,0.25763010344855,0.793068898816023,1.11199649180959,1.29382897176906,1.47199034209724,1.79678432119527,3093.35509308664,1.00064784622314,0.323321387170776,0.000664696719500993,0.0371788084863563,0.248876127765045,0.298605636297496,0.323026385537813,0.349199986330487,0.394867902442664,3128.55550101269,1.00144407096931,5.80743639823168,0.00161973829198265,0.103671142820878,5.61509821917297,5.7361236333488,5.80533335706467,5.87573563122244,6.01306853432223,4096.62370051368,0.999527902122405,8.97557714557166,0.0164427385387908,1.00313978634843,7.26937716648372,8.28796841620277,8.89065492791998,9.58427922123297,11.1612055750003,3721.98492111327,1.00076217613655,1.20420520535518,0.00299663794946664,0.154824071158592,0.905966944256991,1.09831657560183,1.20282351199923,1.30871064165527,1.50851850230497,2669.36779263311,0.999979048757857,-0.163662222531068,0.000465357323330654,0.0235647588941516,-0.209771091412774,-0.179610759662228,-0.163482121838919,-0.147313117255432,-0.1180324363671,2564.20590260023,1.00024435077813,0.00112745007047982,1.69327977919683e-05,0.00113921912821885,3.17676445463836e-05,0.000332944311700682,0.000780599685637516,0.00153951220594607,0.00424117450498981,4526.44338310761,1.00009046997541,6912.72606200298,7.55489187104151
"7","'re","gen",FALSE,NA,2.32046177341452,0.00104693720472321,0.062695343908461,2.19888867779411,2.27821227004102,2.31977351722759,2.36182426994532,2.44430023806609,3586.15710081289,1.00036678132166,0.288923316685791,0.000419007976900932,0.0271845596359886,0.237513863963626,0.270440264503966,0.288482910963721,0.306948557189815,0.345985706966322,4209.20446628631,0.999542120772562,5.70786432516792,0.00115770133827648,0.0823888607945543,5.55269932022892,5.65177647582465,5.70631754465357,5.76426249840953,5.87014767340993,5064.58570699655,0.999246888009693,14.3351950418298,0.0340239176218224,2.01116571034219,11.057436211234,12.9261557824046,14.1113360013273,15.5394989424076,18.7920785252533,3494.03358603529,0.999472158908887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9570.35876165733,8.1588736246013
"8","'re","hurdle",FALSE,1,1.6762556116725,0.00354463042113321,0.193360287354666,1.3058857224742,1.54459058481035,1.67317190710899,1.80897859201099,2.05451705569551,2975.72398010881,1.00103101692122,0.339425036021831,0.000477205352538108,0.0279769056565853,0.284619853644383,0.320507610642133,0.33926143173955,0.358681412641615,0.39401371937944,3437.07290441362,1.00099023213871,5.70036057336107,0.00130798594618256,0.0851368835829938,5.53350699612555,5.64264598623183,5.70290345561247,5.75859820117474,5.86454146756471,4236.71589754798,0.999651950065235,12.0821180069434,0.0214140664796774,1.3826557381769,9.69003411552196,11.1240335510163,11.9758365088807,12.9143072903777,15.0701096293018,4168.9801519403,0.999467094215383,1.38661186179902,0.00272862227661765,0.149651289857082,1.09478879202961,1.28869506644097,1.38776547791493,1.48603286443961,1.67415355855061,3007.97406905844,0.999434433425771,-0.293117888697502,0.000468654138323571,0.0260073189047174,-0.345538327518004,-0.310222252603178,-0.293430503849439,-0.275390851736879,-0.241933471916972,3079.54286510153,0.999739812360171,0.000866863720977736,1.26822850011892e-05,0.00085424435258888,2.45016504583725e-05,0.000254368096726348,0.000585868820046026,0.00122378834534556,0.00313993842169901,4537.00455758294,1.0002602292031,9153.13091139825,7.80318065762851
"9","'s","gen",FALSE,NA,2.12332041053041,0.000473300164953439,0.0281311153713192,2.06846277840197,2.10474212618089,2.12321295652789,2.14195439819618,2.17855891373326,3532.64984184183,1.00000076455351,0.166927112434211,0.000186407796749547,0.0114565820125388,0.144576872477431,0.159248186897198,0.166798000496316,0.174402931258221,0.189698365026908,3777.30444820372,1.00008316869733,5.04321319164994,0.000475346663818435,0.0351499916639365,4.97513380065737,5.01981189361531,5.04335268797513,5.06627007977973,5.11236705388513,5468.01317514332,0.999314600835703,12.6225597537116,0.0130038390510043,0.832130471058822,11.1128956640495,12.0653837833687,12.5918409184824,13.1366692311629,14.4112132049852,4094.8658588289,1.00047641608257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41759.5568486943,7.70187326608158
"10","'s","hurdle",FALSE,1,1.32035759192235,0.00169029679563174,0.102457120925059,1.11243945648235,1.2523410847533,1.32350264283639,1.39017649177479,1.5159116719006,3674.16249354884,0.999776466463299,0.298537220195202,0.000243480768821958,0.014948132845689,0.269315079780703,0.288476267520176,0.298470084844351,0.308662965700975,0.327585533452016,3769.15995870428,1.00043492519947,5.04000118850954,0.000517454640459709,0.0360366960285686,4.9702167087007,5.01534533590497,5.04012016998743,5.06475507286381,5.10816696575175,4850.04045323097,1.00036618736315,12.1279897825952,0.0118744780669768,0.763759461018178,10.7661530636632,11.5915178574426,12.095929463149,12.6092904245381,13.7280008430223,4136.98691107695,0.999970005220425,1.74441345854668,0.00127625650653086,0.0684227358993417,1.61372827644227,1.69948225683395,1.74323705251535,1.78875768763839,1.8798472778276,2874.25259902685,1.00062297577692,-0.308304122035738,0.000228822110696877,0.0125010007629515,-0.33324770938209,-0.316539138508522,-0.308141605600856,-0.300020015327622,-0.283305116133696,2984.65122737036,1.00090989932366,0.000569159271363556,4.9977518988006e-06,0.000319284868067074,0.00013237348535023,0.00033609864031701,0.000511561928845124,0.000738745047998969,0.00133902338227577,4081.38239824465,1.00077034774336,39028.3801527227,7.19815200160877
