"word","model_type","back","hurdle_place","mu_mean","phi_mean","theta_mean","lambda_mean","psi_intercept_mean","psi_slope_mean","alpha_intercept_mean","alpha_slope_mean","waic","waic_scaled"
"uh","hurdle",TRUE,-2,2.465218746,0.846006657,6.519189089,0.223536845,0.302104514,-0.29391029,3.206294961,-0.62683581,11170.90278,5.907404961
"um","gen",TRUE,NA,0.869732215,0.293957647,0.393686493,0.899051556,NA,NA,NA,NA,2449.350647,2.783353008
"up","hurdle",TRUE,-1,6.190586812,10.72512512,2.569452042,0.220000985,1.296772335,-0.371787743,NA,NA,7344.018207,8.431708619
"us","hurdle",TRUE,-1,6.262007503,8.182596813,2.816104633,0.404954743,1.361775523,-0.234494143,NA,NA,2382.838471,8.331603044
"very","hurdle",FALSE,-2,5.073108273,11.67781919,5.2262827,0.039060019,3.472410968,-0.704182568,1.16476049,-0.863948496,2620.981394,7.300783829
"wan","hurdle",FALSE,1,6.925735667,31.50656634,2.202607782,0.15787326,2.245638492,-0.460248033,-4.284993322,-0.203180247,2145.344113,7.945718938
"want","gen",FALSE,NA,6.450913263,19.00435971,3.358907318,0.354475851,NA,NA,NA,NA,2791.298635,8.536081453
"wanted","gen",FALSE,NA,7.305769359,18.37317406,2.964501008,0.301658594,NA,NA,NA,NA,1337.702004,8.858953667
"was","hurdle",FALSE,1,5.271741765,11.21850061,2.359693411,0.261323293,1.167654469,-0.279732783,-0.392155859,-0.400528589,24125.41772,7.991195005
"way","gen",TRUE,NA,6.091147796,14.38722496,1.64635634,0.908143075,NA,NA,NA,NA,2883.608744,8.382583557
"we","gen",FALSE,NA,5.608163848,10.79937178,1.049521391,0.669291105,NA,NA,NA,NA,16779.71644,7.84098899
"well","gen",FALSE,NA,3.448339795,0.835115142,0.36012111,0.95135165,NA,NA,NA,NA,8842.193071,5.851881582
"went","gen",FALSE,NA,5.469355823,18.44337902,2.108793351,0.211894723,NA,NA,NA,NA,2480.973736,7.926433661
"were","gen",FALSE,NA,5.823901264,13.28461067,2.683185836,0.430106337,NA,NA,NA,NA,5539.94155,8.381152118
"what","gen",FALSE,NA,4.828468558,5.368074014,1.677316522,0.930695214,NA,NA,NA,NA,15381.13955,7.887763871
"when","hurdle",FALSE,0,5.789982404,7.332079002,2.206636347,0.489274419,2.459005049,-0.384686348,NA,NA,5995.755755,7.847847847
"where","hurdle",FALSE,0,5.095563218,4.999905113,2.722814806,0.456786099,2.314549987,-0.420237391,NA,NA,3190.786712,7.782406615
"which","hurdle",FALSE,0,4.532930253,4.529694119,2.595787606,0.523242917,2.569424891,-0.251621896,NA,NA,1729.028581,6.574253158
"who","hurdle",FALSE,0,5.33492295,3.243721183,3.589811163,0.395322103,1.621156517,-0.25619499,NA,NA,3291.834645,8.028864989
"whole","hurdle",TRUE,-2,6.192571746,19.14515362,2.644143011,0.250555316,1.789981411,-0.354590276,0.197827145,-0.602197225,1260.953061,8.188006888
"why","gen",FALSE,NA,5.281491859,2.153762149,1.25797349,0.744607053,NA,NA,NA,NA,2647.964641,8.122590923
"will","gen",FALSE,NA,5.427316598,10.95430533,2.470674619,0.563334314,NA,NA,NA,NA,2412.698935,8.262667587
"with","gen",TRUE,NA,6.285334156,10.6722776,2.321086669,0.194089139,NA,NA,NA,NA,10017.51059,8.460735298
"work","hurdle",TRUE,-1,6.026432349,8.761141495,2.475785616,0.156054726,1.012841071,-0.212597197,NA,NA,1619.846343,8.099231715
"would","hurdle",FALSE,1,5.69825036,13.09945863,2.039743968,0.258351993,1.347957271,-0.24869257,0.56623168,-0.408236452,7024.18964,8.064511642
